# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-07-09T09:13:38Z
# station: Linz-Stadt
# abbr: LIN
# country_code: AT
# longitude: 14.2860
# latitude: 48.2970
# height: 263.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;56;61;64;52;84;136;76;96;70;68;44;68;200;308;182;178;514;367;875
1861;82;28;77;40;117;153;63;92;58;4;40;28;234;308;102;221;523;291;782
1862;109;84;26;76;94;108;104;174;38;80;11;58;196;386;129;128;594;308;962
1863;50;20;89;69;48;121;130;57;97;17;55;121;206;308;169;157;522;313;874
1864;15;21;84;131;60;100;117;95;79;30;41;1;275;312;150;123;582;263;774
1865;80;42;69;5;64;43;37;125;20;49;46;11;138;205;115;129;294;304;591
1866;40;78;80;73;38;59;104;126;75;3;73;49;191;289;151;96;475;194;798
1867;29;18;22;32;129;69;53;55;49;57;77;118;183;177;183;225;387;458;708
1868;55;52;99;102;36;33;87;50;14;56;28;92;237;170;98;175;322;289;704
1869;26;57;30;72;59;76;129;56;36;27;188;63;161;261;251;104;428;362;819
1870;22;19;43;63;27;73;147;101;87;102;45;90;133;321;234;144;498;331;819
1871;31;23;40;93;92;86;180;78;13;51;45;27;225;344;109;90;542;224;759
1872;39;24;38;69;52;110;85;153;68;14;71;45;159;348;153;84;537;227;768
1873;14;25;58;48;201;88;48;68;70;16;47;20;307;204;133;74;523;171;703
1874;32;22;34;49;138;45;55;117;56;23;49;67;221;217;128;166;460;283;687
1875;61;38;45;30;71;66;141;101;147;111;123;75;146;308;381;264;556;642;1009
1876;20;169;144;56;54;38;106;73;126;16;65;31;254;217;207;238;453;398;898
1877;73;134;79;68;62;76;92;100;96;27;44;57;209;268;167;186;494;368;908
1878;94;35;111;50;92;30;120;108;128;78;45;48;253;258;251;153;528;311;939
1879;35;70;35;109;63;122;108;130;47;72;85;113;207;360;204;188;579;381;989
1880;45;30;36;64;141;89;68;196;39;102;61;165;241;353;202;198;597;453;1036
1881;7;26;92;58;150;63;143;81;72;48;38;17;300;287;158;62;567;176;795
1882;15;30;28;31;76;91;166;179;73;71;99;130;135;436;243;235;616;457;989
1883;64;41;52;30;45;163;77;82;41;47;28;108;127;322;116;175;438;283;778
1884;43;24;33;33;44;218;127;158;75;104;46;52;110;503;225;76;655;289;957
1885;14;10;63;19;105;55;128;87;89;70;87;66;187;270;246;114;483;306;793
1886;40;8;35;83;14;203;100;111;16;48;31;137;132;414;95;149;527;321;826
1887;6;6;93;34;119;57;35;209;32;53;90;91;246;301;175;201;486;416;825
1888;45;65;72;66;27;75;176;250;124;48;76;8;165;501;248;163;718;363;1032
1889;28;127;76;66;62;75;152;111;106;78;24;35;204;338;208;110;572;264;940
1890;73;2;52;130;73;133;122;188;161;91;94;5;255;443;346;104;807;345;1124
1891;76;23;56;37;52;70;146;76;54;29;44;100;145;292;127;295;435;393;763
1892;102;93;25;56;46;218;112;18;198;75;25;45;127;348;298;208;648;357;1013
1893;87;76;49;0;143;89;126;39;71;63;58;12;192;254;192;66;468;240;813
1894;8;46;53;71;180;130;82;114;81;129;23;52;304;326;233;147;658;438;969
1895;74;21;139;73;112;127;108;101;53;82;27;119;324;336;162;205;574;410;1036
1896;73;13;96;120;134;87;83;150;126;8;19;22;350;320;153;137;700;264;931
1897;34;81;100;57;173;104;250;89;105;25;14;19;330;443;144;99;778;187;1051
1898;26;54;49;41;79;49;118;68;38;40;23;25;169;235;101;121;393;203;610
1899;65;31;19;154;124;112;89;102;174;35;19;46;297;303;228;203;755;317;970
1900;100;57;60;55;43;84;56;45;23;56;51;78;158;185;130;190;306;347;708
