# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-07-09T09:13:49Z
# station: Wien-Hohe Warte
# abbr: WIE
# country_code: AT
# longitude: 16.3560
# latitude: 48.2490
# height: 209.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;47;18;35;90;87;59;45;63;36;21;20;40;212;167;77;113;380;200;561
1861;48;25;46;25;122;131;48;42;11;11;26;24;193;221;48;148;379;195;559
1862;62;62;10;29;107;57;67;83;31;56;26;31;146;207;113;57;374;174;621
1863;18;8;35;56;44;35;40;31;63;16;41;56;135;106;120;89;269;234;443
1864;2;31;88;48;56;128;39;97;79;47;22;18;192;264;148;85;447;202;655
1865;30;37;48;12;53;81;88;71;18;49;24;5;113;240;91;50;323;179;516
1866;17;28;56;19;48;21;85;114;62;11;27;84;123;220;100;199;349;273;572
1867;70;45;36;71;97;61;60;16;43;60;29;79;204;137;132;141;348;320;667
1868;40;22;90;60;110;26;72;51;12;56;29;55;260;149;97;112;331;238;623
1869;11;46;41;33;34;26;43;71;18;42;96;52;108;140;156;111;225;301;513
1870;43;16;52;35;33;74;160;62;51;63;60;76;120;296;174;122;415;291;725
1871;30;16;46;40;44;48;138;59;55;50;41;26;130;245;146;85;384;198;593
1872;46;13;22;20;50;73;57;165;31;50;81;32;92;295;162;138;396;295;640
1873;21;85;26;15;91;54;24;52;66;28;26;18;132;130;120;69;302;170;506
1874;22;29;47;54;111;117;21;52;37;14;42;79;212;190;93;174;392;301;625
1875;59;36;71;28;30;51;65;60;29;133;61;71;129;176;223;230;263;491;694
1876;27;132;67;37;57;58;29;67;62;47;47;43;161;154;156;174;310;318;673
1877;32;99;50;42;64;28;71;35;33;11;42;80;156;134;86;179;273;311;587
1878;71;28;79;38;60;90;66;98;58;73;92;49;177;254;223;132;410;369;802
1879;34;49;72;116;147;114;103;59;29;48;66;24;335;276;143;85;568;240;861
1880;21;40;41;57;144;60;55;111;45;50;43;92;242;226;138;128;472;324;759
1881;22;14;103;25;107;35;39;92;60;83;30;10;235;166;173;35;358;161;620
1882;5;20;13;38;62;35;177;90;38;71;69;67;113;302;178;138;440;301;685
1883;36;35;23;39;62;114;40;51;42;17;23;45;124;205;82;79;348;159;527
1884;27;7;40;79;18;107;41;75;23;132;24;64;137;223;179;106;343;295;637
1885;31;11;33;26;185;23;99;54;49;37;86;19;244;176;172;94;436;289;653
1886;64;11;72;80;27;228;56;38;8;34;39;73;179;322;81;97;437;227;730
1887;11;13;57;51;129;38;13;70;25;59;85;64;237;121;169;245;326;417;615
1888;71;110;28;161;12;85;61;50;29;64;32;29;201;196;125;87;398;299;732
1889;11;47;116;45;40;54;78;40;77;93;22;66;201;172;192;113;334;240;689
1890;44;3;12;120;33;72;58;94;73;24;61;7;165;224;158;82;450;194;601
1891;64;11;27;53;23;101;126;71;19;14;9;53;103;298;42;146;393;213;571
1892;49;44;44;35;73;144;96;20;101;55;11;15;152;260;167;143;469;246;687
1893;99;29;37;2;48;107;73;21;21;29;61;6;87;201;111;27;272;142;533
1894;2;19;25;23;44;94;64;75;53;103;15;18;92;233;171;85;353;260;535
1895;45;22;57;68;110;56;80;72;19;56;8;137;235;208;83;193;405;314;730
1896;39;17;57;43;100;46;80;183;21;16;32;16;200;309;69;86;473;190;650
1897;30;40;56;65;97;79;206;39;42;51;11;9;218;324;104;68;528;175;725
1898;25;34;45;58;126;80;63;70;46;71;15;14;229;213;132;58;443;160;647
1899;28;16;16;66;119;18;62;53;111;24;15;74;201;133;150;237;429;398;602
1900;128;35;122;74;61;68;63;37;12;79;54;58;257;168;145;112;315;305;791
