year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1860,47,18,35,90,87,59,45,63,36,21,20,40
1861,48,25,46,25,122,131,48,42,11,11,26,24
1862,62,62,10,29,107,57,67,83,31,56,26,31
1863,18,8,35,56,44,35,40,31,63,16,41,56
1864,2,31,88,48,56,128,39,97,79,47,22,18
1865,30,37,48,12,53,81,88,71,18,49,24,5
1866,17,28,56,19,48,21,85,114,62,11,27,84
1867,70,45,36,71,97,61,60,16,43,60,29,79
1868,40,22,90,60,110,26,72,51,12,56,29,55
1869,11,46,41,33,34,26,43,71,18,42,96,52
1870,43,16,52,35,33,74,160,62,51,63,60,76
1871,30,16,46,40,44,48,138,59,55,50,41,26
1872,46,13,22,20,50,73,57,165,31,50,81,32
1873,21,85,26,15,91,54,24,52,66,28,26,18
1874,22,29,47,54,111,117,21,52,37,14,42,79
1875,59,36,71,28,30,51,65,60,29,133,61,71
1876,27,132,67,37,57,58,29,67,62,47,47,43
1877,32,99,50,42,64,28,71,35,33,11,42,80
1878,71,28,79,38,60,90,66,98,58,73,92,49
1879,34,49,72,116,147,114,103,59,29,48,66,24
1880,21,40,41,57,144,60,55,111,45,50,43,92
1881,22,14,103,25,107,35,39,92,60,83,30,10
1882,5,20,13,38,62,35,177,90,38,71,69,67
1883,36,35,23,39,62,114,40,51,42,17,23,45
1884,27,7,40,79,18,107,41,75,23,132,24,64
1885,31,11,33,26,185,23,99,54,49,37,86,19
1886,64,11,72,80,27,228,56,38,8,34,39,73
1887,11,13,57,51,129,38,13,70,25,59,85,64
1888,71,110,28,161,12,85,61,50,29,64,32,29
1889,11,47,116,45,40,54,78,40,77,93,22,66
1890,44,3,12,120,33,72,58,94,73,24,61,7
1891,64,11,27,53,23,101,126,71,19,14,9,53
1892,49,44,44,35,73,144,96,20,101,55,11,15
1893,99,29,37,2,48,107,73,21,21,29,61,6
1894,2,19,25,23,44,94,64,75,53,103,15,18
1895,45,22,57,68,110,56,80,72,19,56,8,137
1896,39,17,57,43,100,46,80,183,21,16,32,16
1897,30,40,56,65,97,79,206,39,42,51,11,9
1898,25,34,45,58,126,80,63,70,46,71,15,14
1899,28,16,16,66,119,18,62,53,111,24,15,74
1900,128,35,122,74,61,68,63,37,12,79,54,58
