# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-08-12T20:13:04Z
# station: Wien-Hohe Warte
# abbr: WIE
# country_code: AT
# longitude: 16.3560
# latitude: 48.2490
# height: 209.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1760;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1761;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1762;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1763;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1764;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1765;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1766;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1767;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1768;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1769;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1770;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1771;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1772;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1773;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1774;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999;999999
1775;-36;24;58;72;117;200;191;204;164;104;37;-18;82;198;102;-25;158;20;93
1776;-71;15;54;94;123;171;192;182;129;67;23;-31;90;182;73;-29;149;9;79
1777;-43;-12;48;68;148;177;181;196;142;75;37;-16;88;185;85;-8;152;23;83
1778;2;-11;48;119;157;171;216;202;129;86;44;26;108;196;86;-7;166;28;99
1779;-83;36;59;135;167;164;180;185;158;103;38;35;120;176;100;-15;165;28;98
1780;-48;-33;72;74;149;169;192;190;145;102;36;-25;98;184;94;-14;153;25;85
1781;-22;5;53;102;152;189;202;212;167;77;49;3;102;201;98;-9;171;24;99
1782;-2;-29;47;81;148;193;207;197;139;83;17;7;92;199;80;20;161;34;91
1783;20;34;42;104;164;193;209;197;159;93;42;-34;103;200;98;-39;171;9;102
1784;-66;-18;34;74;165;181;196;193;172;61;40;-4;91;190;91;-15;164;5;86
1785;-29;-11;-28;55;133;155;176;174;176;86;41;0;53;168;101;-3;145;26;77
1786;-14;6;38;107;126;179;170;164;138;66;8;-1;90;171;71;-1;147;20;82
1787;-27;26;49;75;118;181;185;189;139;106;46;33;81;185;97;15;148;42;93
1788;6;7;51;94;141;184;220;168;163;91;18;-87;95;191;91;-27;162;7;88
1789;-28;33;15;112;176;168;200;185;150;108;46;6;101;184;101;14;165;41;98
1790;-8;44;49;84;164;195;181;196;144;89;33;27;99;191;89;28;161;44;100
1791;35;21;56;114;143;171;198;208;143;93;32;12;104;192;89;-3;163;28;102
1792;-12;-8;51;102;137;183;200;195;142;85;35;8;97;193;87;-3;160;24;93
1793;-39;21;32;77;133;154;210;199;151;113;46;26;81;188;103;27;154;52;94
1794;9;45;70;143;167;194;230;182;137;96;42;-11;127;202;92;-31;176;15;109
1795;-82;-1;47;119;149;190;172;195;152;133;26;29;105;186;104;33;163;45;94
1796;46;25;11;77;149;174;197;200;177;93;36;-17;79;190;102;0;162;28;97
1797;-6;22;37;124;186;184;221;211;163;104;46;15;116;205;104;18;182;44;109
1798;6;34;61;106;152;180;197;200;174;92;31;-44;106;192;99;-45;168;4;99
1799;-73;-18;35;93;144;162;189;198;145;101;46;-34;91;183;97;-17;155;16;82
1800;-10;-8;-1;168;173;156;189;208;158;94;60;4;113;184;104;5;175;41;99
1801;5;6;76;105;170;164;192;175;162;110;60;18;117;177;111;-5;161;35;104
1802;-24;-8;51;107;135;191;197;212;159;128;61;19;98;200;116;-23;167;26;102
1803;-53;-35;37;129;122;163;202;193;135;93;52;5;96;186;93;9;157;32;87
1804;24;-1;16;99;157;176;198;186;162;104;8;-29;91;187;91;-18;163;15;92
1805;-25;0;29;70;128;162;182;171;153;63;10;5;76;172;75;24;144;34;79
1806;31;35;59;76;172;173;192;184;152;89;57;45;102;183;99;21;158;39;105
1807;-5;23;26;83;165;169;211;241;157;114;63;6;91;207;111;-10;171;22;104
1808;-37;1;-17;73;171;178;211;214;159;86;35;-44;76;201;93;-12;168;20;86
1809;-20;28;35;66;161;179;198;198;155;81;30;22;87;192;89;-4;160;26;94
