year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1780,-48,-33,72,74,149,169,192,190,145,102,36,-25
1781,-22,5,53,102,152,189,202,212,167,77,49,3
1782,-2,-29,47,81,148,193,207,197,139,83,17,7
1783,20,34,42,104,164,193,209,197,159,93,42,-34
1784,-66,-18,34,74,165,181,196,193,172,61,40,-4
1785,-29,-11,-28,55,133,155,176,174,176,86,41,0
1786,-14,6,38,107,126,179,170,164,138,66,8,-1
1787,-27,26,49,75,118,181,185,189,139,106,46,33
1788,6,7,51,94,141,184,220,168,163,91,18,-87
1789,-28,33,15,112,176,168,200,185,150,108,46,6
1790,-8,44,49,84,164,195,181,196,144,89,33,27
1791,35,21,56,114,143,171,198,208,143,93,32,12
1792,-12,-8,51,102,137,183,200,195,142,85,35,8
1793,-39,21,32,77,133,154,210,199,151,113,46,26
1794,9,45,70,143,167,194,230,182,137,96,42,-11
1795,-82,-1,47,119,149,190,172,195,152,133,26,29
1796,46,25,11,77,149,174,197,200,177,93,36,-17
1797,-6,22,37,124,186,184,221,211,163,104,46,15
1798,6,34,61,106,152,180,197,200,174,92,31,-44
1799,-73,-18,35,93,144,162,189,198,145,101,46,-34
1800,-10,-8,-1,168,173,156,189,208,158,94,60,4
1801,5,6,76,105,170,164,192,175,162,110,60,18
1802,-24,-8,51,107,135,191,197,212,159,128,61,19
1803,-53,-35,37,129,122,163,202,193,135,93,52,5
1804,24,-1,16,99,157,176,198,186,162,104,8,-29
1805,-25,0,29,70,128,162,182,171,153,63,10,5
1806,31,35,59,76,172,173,192,184,152,89,57,45
1807,-5,23,26,83,165,169,211,241,157,114,63,6
1808,-37,1,-17,73,171,178,211,214,159,86,35,-44
1809,-20,28,35,66,161,179,198,198,155,81,30,22
1810,-28,-7,58,89,155,154,196,193,182,97,37,27
1811,-64,-4,70,107,183,225,228,204,158,144,51,4
1812,-49,11,44,54,155,172,177,181,136,122,27,-49
1813,-57,25,35,107,143,151,172,164,135,93,35,11
1814,-28,-44,30,107,112,161,195,184,121,86,43,28
1815,-37,29,61,90,145,172,169,172,139,98,24,-35
1816,1,-8,31,89,127,159,168,168,131,87,33,-11
1817,17,46,43,37,146,196,186,184,159,69,52,1
1818,11,10,58,113,137,175,191,179,146,107,46,-16
1819,-8,25,59,104,130,181,196,183,160,93,45,-15
1820,-54,6,24,113,163,153,176,216,142,98,34,-19
1821,10,-14,34,116,140,139,173,183,161,98,65,38
1822,18,26,86,111,165,203,210,191,158,127,47,-4
1823,-74,2,53,93,153,154,178,194,159,108,44,16
1824,-13,33,45,73,141,167,193,189,172,101,59,53
1825,21,12,19,105,145,174,188,172,149,78,65,42
1826,-64,-21,54,95,120,179,213,219,164,111,37,25
1827,-29,-31,62,116,164,192,216,180,148,110,-1,13
1828,-16,-12,54,112,148,180,204,172,145,84,47,22
1829,-39,-41,20,94,122,143,192,160,151,95,-4,-73
1830,-85,-34,38,108,145,181,196,192,132,78,51,17
1831,-36,9,50,125,139,154,200,180,130,125,39,-1
1832,-11,14,44,95,126,159,180,197,134,100,22,-14
1833,-60,35,46,79,182,192,168,148,130,83,44,53
1834,40,10,40,82,178,198,228,209,176,98,30,9
1835,3,24,48,83,153,176,207,194,141,90,-6,-23
1836,-34,10,90,97,113,181,190,183,144,111,30,34
1837,-16,-20,19,82,113,160,154,207,127,88,30,-10
1838,-78,-46,37,66,140,168,178,164,155,78,33,-8
1839,-19,0,14,49,124,190,200,171,158,110,61,12
1840,-25,-5,-4,90,128,164,176,169,155,74,55,-94
1841,-14,-35,51,108,173,164,184,179,157,125,45,32
1842,-53,-51,49,72,145,171,187,210,146,67,20,19
1843,6,57,26,89,123,145,180,183,136,91,35,35
1844,-20,-7,22,97,137,177,168,162,154,111,61,-42
1845,4,-36,-10,98,113,186,195,166,137,104,52,28
1846,1,28,61,106,151,187,219,200,158,131,18,-17
1847,-39,0,24,77,168,144,188,195,126,77,23,4
1848,-79,22,56,118,137,192,187,180,135,110,37,-6
1849,-29,38,33,79,142,184,183,162,136,91,24,-18
1850,-55,36,15,99,143,177,180,190,121,86,56,5
1851,-13,3,46,98,105,164,170,172,122,118,16,2
1852,10,25,13,62,144,180,203,189,150,80,68,30
1853,6,-7,6,60,141,178,202,192,147,104,26,-48
1854,-14,-2,34,89,155,167,197,176,142,98,20,29
1855,-30,-39,39,78,136,185,195,196,144,127,41,-60
1856,-2,24,16,114,145,195,174,202,138,100,5,-13
1857,-19,-34,29,99,141,179,214,207,160,129,21,12
1858,-37,-73,22,88,131,202,193,179,171,113,-6,4
1859,-9,28,74,96,148,184,234,214,143,112,29,-34
1860,10,-7,23,90,155,183,171,189,157,86,20,-13
