# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-07-09T09:02:39Z
# station: Augsburg
# abbr: AUG
# country_code: DE
# longitude: 10.9500
# latitude: 48.4300
# height: 463.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;-7;-40;-2;55;120;147;130;148;118;63;-9;0;58;142;57;-9;120;11;60
1861;-59;32;40;47;109;166;163;184;129;86;32;-20;65;171;82;-15;133;24;76
1862;-19;-5;72;98;138;144;162;152;138;102;34;-1;103;153;91;5;139;32;85
1863;12;5;39;88;130;153;160;184;122;95;38;14;86;166;85;-22;140;19;87
1864;-68;-13;46;63;120;149;164;147;125;60;14;-53;76;153;66;-30;128;-5;63
1865;-4;-32;-15;109;154;144;188;154;140;86;42;-29;83;162;89;14;148;35;78
1866;34;38;38;83;93;171;163;143;147;70;8;19;71;159;75;17;133;27;84
1867;-9;40;34;72;114;147;161;174;144;66;3;-40;73;161;71;-16;135;8;76
1868;-33;25;24;71;179;168;173;179;160;83;-6;35;91;173;79;18;155;21;88
1869;-33;51;-2;93;137;122;187;149;144;54;25;-27;76;153;74;-37;139;-5;75
1870;-31;-53;2;71;140;152;189;141;115;72;12;-70;71;161;66;-46;135;-4;62
1871;-64;-5;33;62;82;107;169;164;139;37;-20;-82;59;147;52;-41;121;-12;52
1872;-26;-14;33;78;114;133;170;143;131;79;38;-1;75;149;83;-10;128;21;73
1873;1;-30;40;53;68;136;184;175;110;79;8;-29;54;165;66;-23;121;6;66
1874;-14;-27;16;83;67;147;184;143;144;78;-4;-27;55;158;73;-28;128;-2;66
1875;0;-56;-2;74;130;155;153;171;119;57;21;-39;67;160;66;-29;134;5;65
1876;-48;0;36;78;74;147;166;167;116;99;6;24;63;160;74;19;125;29;72
1877;9;24;12;53;82;168;150;167;95;53;50;-25;49;162;66;-17;119;12;70
1878;-30;5;16;74;120;140;144;153;126;87;13;-38;70;146;75;-21;126;8;68
1879;-30;6;12;55;81;149;136;165;124;57;-17;-115;49;150;55;-65;118;-20;52
1880;-60;-19;35;76;97;135;170;146;124;70;31;35;69;150;75;-12;125;16;70
1881;-63;-8;33;46;101;141;180;161;106;36;39;-5;60;161;60;-11;123;16;64
1882;-18;-11;52;67;112;127;148;133;109;78;31;-11;77;136;73;-6;116;12;68
1883;-17;10;-20;52;117;143;151;148;120;64;26;-12;50;147;70;7;122;25;65
1884;14;18;40;53;122;115;171;156;124;65;4;2;72;147;64;-11;124;10;74
1885;-58;22;23;86;93;162;167;146;120;64;29;-16;67;158;71;-27;129;3;70
1886;-32;-33;3;84;123;130;167;158;143;86;39;2;70;152;89;-29;134;6;73
1887;-60;-29;-1;63;90;152;186;150;111;39;11;-28;51;163;54;-31;125;-5;57
1888;-44;-20;13;48;122;154;138;142;115;49;15;-22;61;145;60;-32;120;-7;59
1889;-39;-34;-12;59;142;169;157;147;101;70;14;-30;63;158;62;-22;129;8;62
1890;9;-44;30;66;126;130;148;157;109;53;23;-68;74;145;62;-54;123;-10;62
1891;-63;-32;26;42;122;145;154;142;126;83;11;-4;63;147;73;-9;122;12;63
1892;-26;4;3;67;117;149;155;179;132;62;20;-35;62;161;71;-38;133;1;69
1893;-92;12;36;87;109;148;165;163;121;83;11;-25;77;159;72;-22;132;11;68
1894;-46;4;37;88;103;134;168;150;105;75;30;-11;76;151;70;-54;125;-9;70
1895;-58;-93;4;77;107;148;173;157;149;68;48;-1;63;159;88;-15;135;21;65
1896;-25;-20;53;49;94;147;160;130;121;72;9;-14;65;146;67;-6;117;20;65
1897;-29;26;53;66;92;160;161;157;116;61;10;-10;70;159;62;-2;125;16;72
1898;7;-2;27;69;109;138;143;174;130;92;39;4;68;152;87;10;127;32;78
1899;15;12;29;65;100;140;161;162;123;77;44;-54;65;154;81;-20;125;8;73
1900;-8;3;-16;50;87;144;168;146;130;75;33;6;40;153;79;-36;121;2;68
