# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-08-12T20:15:10Z
# station: Hohenpeißenberg
# abbr: HOP
# country_code: DE
# longitude: 11.0200
# latitude: 47.8000
# height: 986.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1781;-17;-5;27;86;117;138;150;165;125;44;15;12;77;151;61;-16;130;2;71
1782;-9;-51;3;37;88;151;168;142;107;36;-29;-23;43;154;38;-2;116;0;52
1783;8;8;-1;62;103;125;158;142;119;82;11;-24;55;142;71;-39;118;-3;66
1784;-52;-40;4;20;122;126;148;134;142;23;11;-47;49;136;59;-40;115;-24;49
1785;-13;-60;-57;12;85;111;128;130;140;60;22;-19;13;123;74;-18;101;4;45
1786;-10;-25;-2;70;85;133;114;121;93;35;-6;-10;51;123;41;-10;103;6;50
1787;-34;13;35;37;66;135;140;159;119;92;17;39;46;145;76;16;109;30;68
1788;-18;26;25;55;110;142;172;138;134;56;-3;-105;63;151;62;-38;125;-15;61
1789;-9;0;-31;63;125;104;144;142;109;65;3;-3;52;130;59;-2;115;13;59
1790;-9;7;13;34;114;138;133;156;109;84;24;-15;54;142;72;-10;114;16;66
1791;6;-20;17;85;91;124;145;163;110;71;10;-4;64;144;64;-13;120;13;67
1792;-12;-23;34;74;85;132;151;157;98;80;17;-19;64;147;65;-14;116;13;65
1793;-30;6;21;38;83;117;175;171;109;98;37;4;47;154;81;4;116;34;69
1794;-19;28;56;97;102;136;181;139;95;63;31;-34;85;152;63;-38;125;-1;73
1795;-74;-6;13;86;103;136;119;156;138;121;-4;25;67;137;85;24;123;29;68
1796;58;-10;-16;40;100;126;151;144;142;77;4;-29;41;140;74;-12;117;7;66
1797;-17;9;-5;72;127;108;169;163;125;70;44;7;65;147;80;-10;127;15;73
1798;-28;-10;9;62;106;132;145;150;128;72;10;-53;59;142;70;-28;121;0;60
1799;-39;8;4;34;84;109;135;157;115;66;22;-59;41;134;68;-25;106;-1;53
1800;1;-18;-18;117;119;102;149;160;121;58;25;3;73;137;68;-3;128;17;68
1801;0;-11;28;61;115;106;141;136;132;92;36;-15;68;128;87;-27;115;11;68
1802;-48;-17;16;61;95;148;143;184;120;109;20;-12;57;158;83;-33;125;6;68
1803;-40;-47;8;86;71;117;159;156;92;71;23;0;55;144;62;-2;114;15;58
1804;21;-27;4;48;113;133;145;145;129;79;11;-28;55;141;73;-24;119;3;64
1805;-33;-11;-2;33;80;116;133;130;121;41;-18;-26;37;126;48;-5;102;4;47
1806;2;10;13;21;125;131;151;147;120;71;47;41;53;143;79;2;116;16;73
1807;-39;4;-29;40;115;131;185;195;105;100;40;-17;42;170;82;-28;129;3;69
1808;-32;-36;-38;30;125;128;169;165;127;58;28;-52;39;154;71;-9;124;14;56
1809;-8;34;22;16;107;129;158;138;120;62;7;1;48;142;63;-24;111;6;66
1810;-35;-39;37;46;102;119;153;148;150;66;40;5;62;140;85;-20;120;14;66
1811;-60;-4;37;71;142;169;173;153;125;121;39;-5;83;165;95;-16;139;21;80
1812;-45;1;12;16;112;134;138;143;110;96;-1;-75;47;138;68;-40;109;-4;53
1813;-54;10;-2;66;105;106;125;120;98;67;0;-3;56;117;55;-38;103;-9;53
1814;-37;-75;-4;75;77;108;157;140;90;61;36;10;49;135;62;-15;108;15;53
1815;-75;19;40;62;110;118;123;132;113;73;-14;-33;71;124;57;-36;110;-10;56
1816;-36;-40;-9;46;73;101;123;123;101;74;-5;-24;37;116;57;-5;95;7;44
1817;7;1;-11;-8;91;143;129;134;137;25;37;-17;24;135;66;-5;104;10;56
1818;0;1;13;79;89;137;147;126;115;71;40;-20;60;137;75;-12;116;16;67
1819;-9;-6;19;71;109;126;149;140;124;66;11;-18;66;138;67;-25;120;-1;65
1820;-55;-2;-9;72;105;97;133;167;89;57;-2;-33;56;132;48;-19;111;2;52
1821;-4;-21;17;75;78;91;121;148;118;67;61;26;57;120;82;6;105;35;65
1822;-21;14;61;67;123;175;153;138;110;101;51;-57;84;155;87;-32;128;11;76
1823;-38;0;6;38;112;110;127;152;125;72;17;-2;52;130;71;-8;111;10;60
1824;-35;12;-7;30;86;112;151;139;130;73;41;28;36;134;81;-10;108;12;63
1825;-32;-26;-14;73;97;113;139;140;119;65;41;38;52;131;75;-4;114;20;63
1826;-69;18;24;45;68;116;153;174;133;84;-4;-9;46;148;71;-35;115;-1;61
1827;-51;-46;21;65;117;128;163;127;121;86;-23;24;68;139;61;7;120;16;61
1828;11;-15;13;54;102;127;145;124;115;57;36;11;56;132;69;-30;111;2;65
1829;-57;-44;7;56;89;104;145;121;98;50;-12;-76;51;123;45;-65;102;-21;40
1830;-82;-37;32;77;107;120;151;140;88;60;37;-19;72;137;62;-15;114;12;56
1831;-31;4;22;76;91;110;143;142;97;118;8;-10;63;132;74;-8;110;19;64
1832;-8;-6;14;56;79;108;137;158;109;66;12;-20;50;134;62;-12;108;9;59
1833;-37;22;8;29;135;140;113;108;94;75;19;17;57;120;63;11;103;22;60
1834;22;-6;6;29;130;148;173;154;150;71;23;-20;55;158;81;-10;131;10;73
1835;-6;-5;-3;35;97;125;165;136;118;46;-19;-34;43;142;48;-29;113;-1;55
1836;-30;-23;55;37;65;131;151;148;99;77;9;-13;52;143;62;-15;105;3;59
1837;-19;-12;-27;25;60;135;127;169;87;59;-1;-6;19;144;48;-31;101;-5;50
1838;-58;-28;6;16;97;117;135;126;119;60;30;-31;40;126;70;-29;102;-1;49
1839;-45;-11;-12;12;79;153;155;120;121;88;52;12;26;143;87;-5;107;14;60
1840;0;-28;-39;64;88;121;119;140;106;39;40;-46;38;127;62;-33;106;4;50
1841;-38;-14;43;59;137;103;123;135;128;84;24;3;80;120;79;-26;114;7;66
1842;-73;-8;13;38;93;134;137;163;103;28;-6;26;48;145;42;10;111;10;54
1843;-19;24;4;46;72;89;119;140;104;67;22;4;41;116;64;-28;95;0;56
1844;-52;-36;-8;65;74;133;119;108;118;73;28;-35;44;120;73;-39;103;-8;49
1845;-2;-81;-31;55;56;131;145;115;112;74;43;-7;27;130;76;1;102;25;51
1846;-1;10;32;53;104;152;161;154;125;79;17;-60;63;156;74;-37;125;-3;69
1847;-7;-45;-1;14;129;91;147;142;85;68;24;-20;47;127;59;-31;101;3;52
1848;-87;14;19;70;96;136;143;142;107;78;-1;15;62;140;61;1;116;12;61
1849;-12;0;-10;35;101;142;147;129;113;79;9;-35;42;139;67;-29;111;-2;58
1850;-65;14;-16;49;78;128;137;144;91;38;28;-5;37;136;52;-8;105;6;52
1851;1;-20;-4;63;56;130;131;141;77;81;-40;-10;38;134;39;-7;100;0;51
1852;11;-23;-19;26;101;132;161;146;108;63;73;42;36;146;81;3;112;19;68
1853;17;-50;-33;24;84;121;159;153;112;88;9;-55;25;144;70;-42;109;-4;52
1854;-20;-50;2;60;102;115;149;135;115;82;-10;-15;55;133;62;-33;113;-4;55
1855;-62;-22;2;35;87;127;145;158;116;105;-2;-49;41;143;73;-9;111;12;53
1856;13;10;-3;77;82;144;129;166;103;92;-29;-7;52;146;55;-31;117;-5;65
1857;-45;-40;-1;44;101;128;167;155;134;98;29;8;48;150;87;-27;122;7;65
1858;-47;-43;-4;64;75;165;133;130;141;80;-12;-15;45;143;70;-16;118;10;56
1859;-25;-7;37;57;91;133;191;171;116;90;11;-46;62;165;72;-35;127;-4;68
1860;5;-64;-18;38;101;125;113;135;109;60;-16;-19;40;124;51;-15;104;2;47
1861;-51;24;13;32;83;136;143;167;113;92;28;-23;43;149;78;-24;112;18;63
1862;-27;-21;56;80;121;115;154;139;126;97;26;1;86;136;83;2;123;23;72
1863;11;-7;11;60;109;123;136;170;109;98;27;-5;60;143;78;-26;118;11;70
1864;-54;-20;20;26;89;117;134;127;110;53;3;-41;45;126;55;-37;101;-16;47
1865;-13;-58;-41;98;135;115;170;137;142;82;37;-12;64;141;87;4;133;22;66
1866;16;8;3;67;65;143;138;134;131;71;14;20;45;138;72;3;113;16;68
1867;-28;17;3;52;100;124;132;157;127;59;-4;-48;52;138;61;-32;115;-8;58
1868;-50;1;-9;42;151;139;146;152;148;71;-4;38;61;146;72;12;130;14;69
1869;-40;39;-18;72;114;94;168;128;134;41;12;-14;56;130;62;-32;118;-11;61
1870;-38;-43;-24;41;114;126;166;119;94;63;14;-69;44;137;57;-45;110;-6;47
1871;-67;2;19;46;68;90;152;148;137;41;-25;-61;44;130;51;-20;107;-3;46
1872;-4;6;26;59;92;119;152;131;128;88;42;26;59;134;86;3;114;29;72
1873;9;-25;34;40;60;124;166;159;104;84;17;-12;45;150;68;-12;109;11;63
1874;-5;-20;1;65;56;133;174;124;139;94;-4;-42;41;144;76;-34;115;-5;60
1875;1;-62;-18;51;115;137;136;162;119;48;3;-35;49;145;57;-21;120;0;55
1876;-28;-1;12;56;50;125;152;154;102;97;9;26;39;144;69;12;107;22;63
1877;12;-3;-8;36;63;155;136;159;86;51;37;-21;30;150;58;-20;106;4;59
1878;-39;0;-7;53;106;123;134;144;115;79;6;-33;51;134;67;-25;113;2;57
1879;-28;-14;3;37;54;132;120;163;122;51;-17;-61;31;138;52;-48;105;-13;47
1880;-55;-28;33;59;75;114;160;135;124;71;25;23;56;136;73;-12;111;13;61
1881;-60;2;16;31;83;123;174;155;103;25;36;-3;43;151;55;-1;112;17;57
1882;6;-5;43;48;97;111;142;123;102;83;21;-11;63;125;69;-9;104;6;63
1883;-16;1;-43;37;99;124;140;143;115;61;25;-29;31;136;67;-5;110;17;55
1884;6;9;31;41;109;91;161;153;119;52;4;-10;60;135;58;-5;112;7;64
1885;-33;27;0;74;75;147;154;142;120;57;24;-23;50;148;67;-38;119;-8;64
1886;-37;-53;-14;69;101;108;151;144;138;83;23;-19;52;134;81;-36;119;-2;58
1887;-43;-45;-14;47;63;133;168;139;103;20;14;-41;32;147;46;-41;109;-17;45
1888;-43;-39;-11;28;102;134;120;130;112;40;17;14;40;128;56;-31;104;-10;50
1889;-47;-61;-23;37;122;143;136;131;88;66;22;-46;45;137;59;-32;110;1;47
1890;11;-61;12;44;108;109;127;142;104;47;-1;-73;55;126;50;-58;106;-21;47
1891;-72;-30;5;22;100;127;133;128;123;88;9;-2;42;129;73;-14;106;7;53
1892;-32;-7;-17;53;94;126;137;170;126;63;33;-40;43;144;74;-43;118;-2;59
1893;-85;-3;18;82;87;129;146;153;114;89;-1;-22;62;143;67;-23;119;6;59
1894;-30;-16;16;81;83;115;153;140;95;66;30;-30;60;136;64;-66;111;-18;59
1895;-69;-99;-5;62;86;126;157;145;156;62;47;-8;48;143;88;-25;122;11;55
1896;-42;-26;35;22;67;129;146;114;107;64;-10;-14;41;130;54;-10;98;9;49
1897;-29;12;29;46;66;139;137;139;97;57;25;-5;47;138;60;-1;104;14;59
1898;25;-23;4;56;87;118;126;167;131;89;46;4;49;137;89;8;114;29;69
1899;5;14;14;44;77;117;138;149;105;78;38;-40;45;135;74;-15;105;7;62
1900;-14;9;-28;36;72;130;158;133;134;73;33;20;27;140;80;-24;111;5;63
