# parameter: Mean temperature;;;;;;;;;;;;;;;;;;;
# unit: 0,1 å¡C;;;;;;;;;;;;;;;;;;;
# source: http://www.zamg.ac.at/histalp;;;;;;;;;;;;;;;;;;;
# csv-generated: 2015-07-09T09:16:02Z;;;;;;;;;;;;;;;;;;;
# station: HohenpeiÌÙenberg;;;;;;;;;;;;;;;;;;;
# abbr: HOP;;;;;;;;;;;;;;;;;;;
# country_code: DE;;;;;;;;;;;;;;;;;;;
# longitude: 11.0200;;;;;;;;;;;;;;;;;;;
# latitude: 47.8000;;;;;;;;;;;;;;;;;;;
# height: 986.0;;;;;;;;;;;;;;;;;;;
# height-unit: m;;;;;;;;;;;;;;;;;;;
# missing-value: 999999;;;;;;;;;;;;;;;;;;;
#--------------------------------------;;;;;;;;;;;;;;;;;;;
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;5;-64;-18;38;101;125;113;135;109;60;-16;-19;40;124;51;-15;104;2;47
1861;-51;24;13;32;83;136;143;167;113;92;28;-23;43;149;78;-24;112;18;63
1862;-27;-21;56;80;121;115;154;139;126;97;26;1;86;136;83;2;123;23;72
1863;11;-7;11;60;109;123;136;170;109;98;27;-5;60;143;78;-26;118;11;70
1864;-54;-20;20;26;89;117;134;127;110;53;3;-41;45;126;55;-37;101;-16;47
1865;-13;-58;-41;98;135;115;170;137;142;82;37;-12;64;141;87;4;133;22;66
1866;16;8;3;67;65;143;138;134;131;71;14;20;45;138;72;3;113;16;68
1867;-28;17;3;52;100;124;132;157;127;59;-4;-48;52;138;61;-32;115;-8;58
1868;-50;1;-9;42;151;139;146;152;148;71;-4;38;61;146;72;12;130;14;69
1869;-40;39;-18;72;114;94;168;128;134;41;12;-14;56;130;62;-32;118;-11;61
1870;-38;-43;-24;41;114;126;166;119;94;63;14;-69;44;137;57;-45;110;-6;47
1871;-67;2;19;46;68;90;152;148;137;41;-25;-61;44;130;51;-20;107;-3;46
1872;-4;6;26;59;92;119;152;131;128;88;42;26;59;134;86;3;114;29;72
1873;9;-25;34;40;60;124;166;159;104;84;17;-12;45;150;68;-12;109;11;63
1874;-5;-20;1;65;56;133;174;124;139;94;-4;-42;41;144;76;-34;115;-5;60
1875;1;-62;-18;51;115;137;136;162;119;48;3;-35;49;145;57;-21;120;0;55
1876;-28;-1;12;56;50;125;152;154;102;97;9;26;39;144;69;12;107;22;63
1877;12;-3;-8;36;63;155;136;159;86;51;37;-21;30;150;58;-20;106;4;59
1878;-39;0;-7;53;106;123;134;144;115;79;6;-33;51;134;67;-25;113;2;57
1879;-28;-14;3;37;54;132;120;163;122;51;-17;-61;31;138;52;-48;105;-13;47
1880;-55;-28;33;59;75;114;160;135;124;71;25;23;56;136;73;-12;111;13;61
1881;-60;2;16;31;83;123;174;155;103;25;36;-3;43;151;55;-1;112;17;57
1882;6;-5;43;48;97;111;142;123;102;83;21;-11;63;125;69;-9;104;6;63
1883;-16;1;-43;37;99;124;140;143;115;61;25;-29;31;136;67;-5;110;17;55
1884;6;9;31;41;109;91;161;153;119;52;4;-10;60;135;58;-5;112;7;64
1885;-33;27;0;74;75;147;154;142;120;57;24;-23;50;148;67;-38;119;-8;64
1886;-37;-53;-14;69;101;108;151;144;138;83;23;-19;52;134;81;-36;119;-2;58
1887;-43;-45;-14;47;63;133;168;139;103;20;14;-41;32;147;46;-41;109;-17;45
1888;-43;-39;-11;28;102;134;120;130;112;40;17;14;40;128;56;-31;104;-10;50
1889;-47;-61;-23;37;122;143;136;131;88;66;22;-46;45;137;59;-32;110;1;47
1890;11;-61;12;44;108;109;127;142;104;47;-1;-73;55;126;50;-58;106;-21;47
1891;-72;-30;5;22;100;127;133;128;123;88;9;-2;42;129;73;-14;106;7;53
1892;-32;-7;-17;53;94;126;137;170;126;63;33;-40;43;144;74;-43;118;-2;59
1893;-85;-3;18;82;87;129;146;153;114;89;-1;-22;62;143;67;-23;119;6;59
1894;-30;-16;16;81;83;115;153;140;95;66;30;-30;60;136;64;-66;111;-18;59
1895;-69;-99;-5;62;86;126;157;145;156;62;47;-8;48;143;88;-25;122;11;55
1896;-42;-26;35;22;67;129;146;114;107;64;-10;-14;41;130;54;-10;98;9;49
1897;-29;12;29;46;66;139;137;139;97;57;25;-5;47;138;60;-1;104;14;59
1898;25;-23;4;56;87;118;126;167;131;89;46;4;49;137;89;8;114;29;69
1899;5;14;14;44;77;117;138;149;105;78;38;-40;45;135;74;-15;105;7;62
1900;-14;9;-28;36;72;130;158;133;134;73;33;20;27;140;80;-24;111;5;63
