# parameter: Mean temperature;;;;;;;;;;;;;;;;;;;
# unit: 0,1 å¡C;;;;;;;;;;;;;;;;;;;
# source: http://www.zamg.ac.at/histalp;;;;;;;;;;;;;;;;;;;
# csv-generated: 2015-07-09T08:59:18Z;;;;;;;;;;;;;;;;;;;
# station: Regensburg;;;;;;;;;;;;;;;;;;;
# abbr: RBG;;;;;;;;;;;;;;;;;;;
# country_code: DE;;;;;;;;;;;;;;;;;;;
# longitude: 12.1000;;;;;;;;;;;;;;;;;;;
# latitude: 49.0500;;;;;;;;;;;;;;;;;;;
# height: 366.0;;;;;;;;;;;;;;;;;;;
# height-unit: m;;;;;;;;;;;;;;;;;;;
# missing-value: 999999;;;;;;;;;;;;;;;;;;;
#--------------------------------------;;;;;;;;;;;;;;;;;;;
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;-3;-47;2;63;132;166;138;156;127;70;-16;-18;66;153;60;-25;130;3;64
1861;-75;19;36;58;112;174;168;187;133;91;29;-33;69;176;84;-23;139;19;75
1862;-28;-9;62;99;144;157;178;156;138;111;37;-11;102;164;95;-3;145;28;86
1863;3;0;30;81;137;161;162;194;127;100;31;5;83;172;86;-36;144;10;86
1864;-85;-29;35;47;111;159;159;143;128;57;4;-66;64;154;63;-41;125;-14;55
1865;-13;-45;-20;103;164;154;197;165;144;96;36;-35;82;172;92;4;155;29;79
1866;12;35;27;93;104;181;167;154;152;62;29;8;75;167;81;11;142;25;85
1867;-17;42;26;86;134;165;166;190;147;73;-3;-41;82;174;72;-14;148;9;81
1868;-31;30;25;79;183;186;186;193;151;92;8;45;96;188;84;22;163;31;96
1869;-33;54;22;103;156;144;202;161;152;59;30;-29;94;169;80;-40;153;-5;85
1870;-33;-58;1;73;154;175;207;156;119;88;14;-68;76;179;74;-46;147;0;69
1871;-70;0;38;78;101;137;185;178;151;49;-15;-98;72;167;62;-49;138;-10;61
1872;-30;-18;49;92;133;162;179;159;143;96;35;9;91;167;91;-7;145;27;84
1873;-7;-23;50;69;98;162;194;183;123;97;16;-20;72;180;79;-23;138;11;79
1874;-22;-26;19;95;90;165;202;155;147;85;-4;-30;68;174;76;-35;142;-6;73
1875;-9;-67;-9;75;142;177;164;185;126;57;9;-42;69;175;64;-35;145;0;67
1876;-59;-4;36;86;87;167;180;180;127;100;-7;16;70;176;73;13;138;24;76
1877;3;19;10;64;100;186;166;180;102;60;33;-8;58;177;65;-19;133;9;76
1878;-42;-6;14;79;130;158;158;167;132;91;-2;-42;74;161;74;-25;137;4;70
1879;-34;0;12;68;103;164;153;181;141;66;-10;-121;61;166;66;-73;135;-21;60
1880;-57;-40;38;91;111;154;184;162;137;78;27;25;80;167;81;-18;140;13;76
1881;-70;-10;28;57;120;156;193;173;117;46;27;-4;68;174;63;-12;136;15;69
1882;-21;-11;54;76;127;145;167;148;127;80;28;-14;86;153;78;-10;132;11;76
1883;-20;5;-13;58;134;166;170;163;136;70;23;-9;60;166;76;3;138;24;74
1884;9;10;42;63;138;133;187;171;134;67;4;0;81;164;68;-21;138;6;80
1885;-63;0;26;100;109;181;185;156;131;69;26;-23;78;174;75;-30;144;0;75
1886;-39;-28;-3;96;135;149;178;173;153;91;32;-5;76;167;92;-37;147;3;78
1887;-68;-37;6;76;111;165;206;163;129;45;15;-34;64;178;63;-36;142;-7;65
1888;-45;-29;8;50;123;161;143;145;118;47;15;-23;60;150;60;-31;123;-7;59
1889;-37;-33;-13;72;161;187;175;160;112;73;8;-34;73;174;64;-24;145;7;69
1890;-2;-37;36;76;143;142;164;175;123;58;20;-54;85;160;67;-53;137;-9;70
1891;-69;-37;26;52;142;156;170;157;136;89;6;-7;73;161;77;-11;136;11;68
1892;-24;-1;4;77;123;165;167;191;138;64;14;-45;68;174;72;-49;144;-4;73
1893;-104;3;41;90;123;162;178;175;130;87;7;-23;85;172;75;-27;143;9;72
1894;-61;4;40;103;124;146;184;163;114;77;31;-17;89;164;74;-55;139;-9;76
1895;-55;-92;3;83;121;163;189;166;155;68;35;-14;69;173;86;-24;146;12;69
1896;-38;-21;40;50;105;159;170;142;122;70;7;-24;65;157;66;-19;125;12;65
1897;-37;5;51;68;103;170;170;166;124;63;3;-18;74;169;63;-13;134;9;72
1898;-11;-10;27;76;122;149;152;185;133;89;34;-5;75;162;85;-6;136;21;78
1899;-6;-6;20;67;111;153;176;168;123;63;38;-65;66;166;75;-29;133;1;70
1900;-21;-2;-9;58;104;162;186;162;139;77;38;-1;51;170;85;-46;135;-1;74
