year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1860,35,53,20,67,56,58,76,33,35,41,55,47
1861,24,19,41,29,50,66,12,28,20,18,53,7
1862,37,20,14,55,119,32,10,35,35,9,53,42
1863,38,2,31,1,35,14,22,29,40,7,49,29
1864,4,37,47,31,51,66,48,25,71,10,45,12
1865,42,24,74,0,18,46,22,40,2,38,24,6
1866,25,16,104,15,46,23,41,61,24,15,21,40
1867,62,27,40,96,42,82,47,49,37,70,29,77
1868,33,13,43,36,38,63,41,18,29,46,23,64
1869,16,20,39,29,24,27,39,28,34,44,58,81
1870,46,25,8,19,48,37,57,101,37,77,76,41
1871,48,12,31,31,17,69,11,43,9,47,91,24
1872,34,27,35,20,53,64,41,68,80,42,40,24
1873,32,43,9,74,60,64,6,16,28,26,27,6
1874,9,19,29,18,47,148,61,71,28,8,41,95
1875,15,12,16,14,72,120,105,40,9,103,111,28
1876,25,49,52,13,67,62,14,30,78,30,45,64
1877,19,39,82,83,73,20,36,27,44,26,21,54
1878,58,5,48,26,20,57,154,17,67,65,112,54
1879,21,48,43,124,80,78,36,17,62,78,32,28
1880,7,25,22,29,139,70,12,110,68,52,35,60
1881,36,2,82,77,78,67,17,60,53,107,25,13
1882,3,18,14,67,25,51,116,80,176,24,79,83
1883,16,4,34,59,39,92,86,29,89,50,81,25
1884,16,4,22,70,13,78,39,132,12,82,20,39
1885,18,11,10,18,109,66,62,62,23,54,32,23
1886,90,42,38,43,22,56,4,23,18,49,18,71
1887,29,5,53,8,74,4,33,55,55,111,44,122
1888,18,46,16,94,30,78,46,51,28,57,13,20
1889,21,42,63,94,64,85,70,14,100,77,34,21
1890,36,0,22,57,25,48,37,33,5,38,78,30
1891,60,2,34,82,56,96,106,54,20,3,48,26
1892,74,44,46,37,50,50,12,45,40,77,5,54
1893,42,52,33,4,56,143,27,13,26,44,108,18
1894,5,14,7,58,82,28,21,25,58,104,12,25
1895,40,40,75,53,54,86,43,43,1,86,6,72
1896,7,27,19,81,43,59,61,138,51,46,46,38
1897,40,27,60,22,102,59,42,27,41,77,5,13
1898,9,18,26,100,77,61,24,34,48,51,33,17
1899,36,17,22,34,132,28,47,16,71,20,5,41
1900,43,26,59,31,119,50,49,61,21,71,83,27
