year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1780,-24,-24,78,85,158,179,208,204,154,111,50,-18
1781,-23,1,61,115,162,203,215,231,186,81,57,-10
1782,-10,-31,34,95,150,197,219,207,155,90,17,0
1783,2,42,36,110,174,202,218,207,168,107,29,-55
1784,-49,-14,39,81,171,189,199,208,178,70,34,-4
1785,-45,-34,-37,83,158,181,201,195,174,96,47,-4
1786,-28,-3,56,108,138,184,196,185,146,71,22,-15
1787,-33,17,68,78,130,188,207,210,147,111,51,22
1788,1,-1,69,98,152,204,230,171,171,92,21,-76
1789,-34,13,19,122,184,179,209,191,168,113,50,-12
1790,-14,32,58,88,164,211,198,206,146,97,40,23
1791,29,9,66,121,151,184,214,223,151,100,39,16
1792,-8,-8,46,110,146,196,216,200,165,90,34,2
1793,-37,19,42,88,139,171,223,211,160,113,46,19
1794,1,40,69,149,172,206,245,194,145,97,42,-18
1795,-87,-8,47,126,154,202,188,207,160,133,25,23
1796,38,19,20,83,161,186,210,211,185,105,35,-25
1797,-9,17,35,130,190,195,230,223,187,118,45,8
1798,-4,38,60,111,159,197,210,212,182,103,29,-52
1799,-77,-23,34,94,149,172,200,209,157,122,44,-43
1800,-15,-3,-4,171,184,163,196,210,167,105,64,-1
1801,4,-6,82,107,183,173,195,191,180,131,63,9
1802,-19,14,53,106,152,202,214,220,169,139,68,15
1803,-47,-20,47,130,138,180,211,205,140,96,57,-1
1804,29,-6,22,114,164,182,212,195,180,115,16,-34
1805,-21,-2,37,86,140,167,195,180,167,72,11,-1
1806,37,20,57,78,168,177,205,185,170,87,61,39
1807,0,16,24,84,174,173,215,249,160,119,66,1
1808,-1,-15,-20,84,168,184,213,216,172,93,38,-51
1809,-28,19,42,72,165,187,199,199,160,92,32,25
1810,-10,1,58,101,170,158,197,201,185,101,49,15
1811,-45,-12,61,114,190,224,227,210,158,135,40,-5
1812,-53,14,57,65,168,194,197,188,142,128,34,-55
1813,-62,17,39,126,165,166,186,182,139,98,44,25
1814,-17,-38,61,121,121,167,205,190,127,94,33,26
1815,-26,24,59,103,158,186,178,177,138,104,35,-33
1816,2,-12,47,97,142,179,177,174,145,99,48,-21
1817,4,41,53,51,157,194,185,185,163,80,46,6
1818,-8,8,67,115,157,192,205,184,158,104,40,-14
1819,-36,7,62,108,141,183,203,191,161,102,56,-11
1820,-53,3,38,123,172,170,191,226,141,99,45,-12
1821,7,-11,31,129,156,154,179,202,174,101,62,37
1822,6,21,84,118,174,220,222,196,160,129,43,-6
1823,-67,15,60,98,161,185,192,202,160,116,39,15
1824,6,35,55,96,148,175,200,204,175,106,49,37
1825,18,15,31,118,162,184,198,193,158,93,66,47
1826,-61,-29,51,99,131,181,211,210,163,116,43,21
1827,-9,-31,60,122,171,201,223,192,161,122,16,6
1828,-25,-9,63,122,153,194,211,179,138,88,43,10
1829,-19,-38,36,115,138,158,207,182,168,82,-4,-63
1830,-74,-33,35,123,167,201,214,205,143,85,66,23
1831,-23,-5,55,130,147,164,203,185,137,121,42,-1
1832,-10,20,52,105,136,174,181,207,136,114,29,-25
1833,-78,22,59,92,192,205,186,161,141,99,42,37
1834,28,7,36,90,191,206,246,216,189,100,45,-1
1835,0,29,51,94,158,185,211,198,139,100,-13,-39
1836,-39,7,94,112,129,191,197,199,156,126,26,27
1837,-22,-13,23,100,132,162,176,212,129,96,38,-29
1838,-74,-41,39,82,161,179,186,170,173,79,41,-17
1839,-25,-1,16,71,141,204,217,183,163,115,64,-2
1840,-47,-1,4,97,141,171,198,178,159,65,62,-91
1841,-20,-43,44,138,181,190,208,200,158,121,44,27
1842,-34,-72,46,85,150,180,201,221,156,72,25,9
1843,0,64,33,109,137,165,195,197,130,97,28,24
1844,-33,-11,30,106,160,185,181,169,155,112,64,-30
1845,8,-39,-5,114,131,198,203,174,137,108,55,14
1846,-8,17,71,120,160,194,215,211,163,138,19,-18
1847,-46,-13,34,102,175,155,202,210,130,87,29,-1
1848,-66,17,61,129,153,217,216,204,146,126,39,-12
1849,-43,30,28,103,157,200,192,181,138,102,36,-29
1850,-62,14,13,125,164,201,199,208,140,98,50,6
1851,-16,8,60,129,132,180,192,192,138,136,8,-9
1852,0,21,27,80,169,196,213,195,162,84,65,25
1853,9,1,27,67,159,189,218,200,150,108,36,-41
1854,-18,-5,35,98,171,185,207,186,144,105,17,19
1855,-25,-25,48,96,151,202,210,204,146,129,44,-57
1856,-6,7,16,115,146,198,186,207,150,110,0,-15
1857,-8,-25,31,111,168,183,218,216,160,131,22,1
1858,-45,-73,16,87,151,209,225,199,175,138,5,-2
1859,-21,20,61,102,150,184,235,224,145,114,30,-27
1860,6,-10,28,110,166,193,183,195,162,79,32,-6
