# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-08-12T20:16:11Z
# station: Budapest - Lörinc Airport
# abbr: BUD
# country_code: HU
# longitude: 19.2700
# latitude: 47.4300
# height: 130.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1780;-24;-24;78;85;158;179;208;204;154;111;50;-18;107;197;105;-13;165;30;97
1781;-23;1;61;115;162;203;215;231;186;81;57;-10;113;216;108;-17;185;20;107
1782;-10;-31;34;95;150;197;219;207;155;90;17;0;93;208;87;15;171;31;94
1783;2;42;36;110;174;202;218;207;168;107;29;-55;107;209;101;-39;180;10;103
1784;-49;-14;39;81;171;189;199;208;178;70;34;-4;97;199;94;-28;171;-3;92
1785;-45;-34;-37;83;158;181;201;195;174;96;47;-4;68;192;106;-12;165;27;85
1786;-28;-3;56;108;138;184;196;185;146;71;22;-15;101;188;80;-10;160;22;88
1787;-33;17;68;78;130;188;207;210;147;111;51;22;92;202;103;7;160;42;100
1788;1;-1;69;98;152;204;230;171;171;92;21;-76;106;202;95;-32;171;6;94
1789;-34;13;19;122;184;179;209;191;168;113;50;-12;108;193;110;2;176;38;100
1790;-14;32;58;88;164;211;198;206;146;97;40;23;103;205;94;20;169;44;104
1791;29;9;66;121;151;184;214;223;151;100;39;16;113;207;97;0;174;31;109
1792;-8;-8;46;110;146;196;216;200;165;90;34;2;101;204;96;-5;172;25;99
1793;-37;19;42;88;139;171;223;211;160;113;46;19;90;202;106;20;165;48;100
1794;1;40;69;149;172;206;245;194;145;97;42;-18;130;215;95;-38;185;12;112
1795;-87;-8;47;126;154;202;188;207;160;133;25;23;109;199;106;27;173;43;98
1796;38;19;20;83;161;186;210;211;185;105;35;-25;88;202;108;-6;173;26;102
1797;-9;17;35;130;190;195;230;223;187;118;45;8;118;216;117;14;193;44;114
1798;-4;38;60;111;159;197;210;212;182;103;29;-52;110;206;105;-51;179;2;104
1799;-77;-23;34;94;149;172;200;209;157;122;44;-43;92;194;108;-20;164;17;87
1800;-15;-3;-4;171;184;163;196;210;167;105;64;-1;117;190;112;-1;182;41;103
1801;4;-6;82;107;183;173;195;191;180;131;63;9;124;186;125;1;172;42;109
1802;-19;14;53;106;152;202;214;220;169;139;68;15;104;212;125;-17;177;34;111
1803;-47;-20;47;130;138;180;211;205;140;96;57;-1;105;199;98;7;167;33;95
1804;29;-6;22;114;164;182;212;195;180;115;16;-34;100;196;104;-19;175;19;99
1805;-21;-2;37;86;140;167;195;180;167;72;11;-1;88;181;83;19;156;33;86
1806;37;20;57;78;168;177;205;185;170;87;61;39;101;189;106;18;164;38;107
1807;0;16;24;84;174;173;215;249;160;119;66;1;94;212;115;-5;176;25;107
1808;-1;-15;-20;84;168;184;213;216;172;93;38;-51;77;204;101;-20;173;19;90
1809;-28;19;42;72;165;187;199;199;160;92;32;25;93;195;95;5;164;33;97
1810;-10;1;58;101;170;158;197;201;185;101;49;15;110;185;112;-14;169;28;102
1811;-45;-12;61;114;190;224;227;210;158;135;40;-5;122;220;111;-15;187;31;108
1812;-53;14;57;65;168;194;197;188;142;128;34;-55;97;193;101;-33;159;17;90
1813;-62;17;39;126;165;166;186;182;139;98;44;25;110;178;94;-10;161;29;94
1814;-17;-38;61;121;121;167;205;190;127;94;33;26;101;187;85;8;155;35;91
1815;-26;24;59;103;158;186;178;177;138;104;35;-33;107;180;92;-14;157;24;92
1816;2;-12;47;97;142;179;177;174;145;99;48;-21;95;177;97;8;152;37;90
1817;4;41;53;51;157;194;185;185;163;80;46;6;87;188;96;2;156;33;97
1818;-8;8;67;115;157;192;205;184;158;104;40;-14;113;194;101;-14;169;27;101
1819;-36;7;62;108;141;183;203;191;161;102;56;-11;104;192;106;-20;165;23;97
1820;-53;3;38;123;172;170;191;226;141;99;45;-12;111;196;95;-5;171;27;95
1821;7;-11;31;129;156;154;179;202;174;101;62;37;105;178;112;21;166;52;102
1822;6;21;84;118;174;220;222;196;160;129;43;-6;125;213;111;-19;182;29;114
1823;-67;15;60;98;161;185;192;202;160;116;39;15;106;193;105;19;166;44;98
1824;6;35;55;96;148;175;200;204;175;106;49;37;100;193;110;23;166;43;107
1825;18;15;31;118;162;184;198;193;158;93;66;47;104;192;106;-14;169;28;107
1826;-61;-29;51;99;131;181;211;210;163;116;43;21;94;201;107;-6;166;33;95
1827;-9;-31;60;122;171;201;223;192;161;122;16;6;118;205;100;-9;178;29;103
1828;-25;-9;63;122;153;194;211;179;138;88;43;10;113;195;90;-16;166;20;97
1829;-19;-38;36;115;138;158;207;182;168;82;-4;-63;96;182;82;-57;161;-9;80
1830;-74;-33;35;123;167;201;214;205;143;85;66;23;108;207;98;-2;176;34;96
1831;-23;-5;55;130;147;164;203;185;137;121;42;-1;111;184;100;3;161;37;96
1832;-10;20;52;105;136;174;181;207;136;114;29;-25;98;187;93;-27;157;20;93
1833;-78;22;59;92;192;205;186;161;141;99;42;37;114;184;94;24;163;42;97
1834;28;7;36;90;191;206;246;216;189;100;45;-1;106;223;111;9;190;37;113
1835;0;29;51;94;158;185;211;198;139;100;-13;-39;101;198;75;-24;164;18;93
1836;-39;7;94;112;129;191;197;199;156;126;26;27;112;196;103;-3;164;28;102
1837;-22;-13;23;100;132;162;176;212;129;96;38;-29;85;183;88;-48;152;5;84
1838;-74;-41;39;82;161;179;186;170;173;79;41;-17;94;178;98;-14;159;16;82
1839;-25;-1;16;71;141;204;217;183;163;115;64;-2;76;201;114;-17;163;22;96
1840;-47;-1;4;97;141;171;198;178;159;65;62;-91;81;182;95;-51;157;3;78
1841;-20;-43;44;138;181;190;208;200;158;121;44;27;121;199;108;-26;179;22;104
