# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-09-03T17:17:22Z
# station: Mosonmagyarovar
# abbr: MOS
# country_code: HU
# longitude: 17.2700
# latitude: 47.8500
# height: 121.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1859;5;6;52;57;85;42;56;47;51;89;49;83;194;145;189;157;338;315;622
1860;34;40;20;68;53;50;66;50;75;38;42;60;141;166;155;136;362;266;596
1861;53;23;50;18;90;84;51;22;39;4;60;15;158;157;103;104;304;179;509
1862;78;11;11;50;82;60;17;31;15;19;54;30;143;108;88;68;255;170;458
1863;35;3;29;40;32;22;26;15;32;14;42;54;101;63;88;118;167;237;344
1864;6;58;63;10;35;78;33;67;33;38;36;11;108;178;107;75;256;196;468
1865;46;18;47;5;24;32;33;62;4;35;17;3;76;127;56;59;160;155;326
1866;16;40;44;35;53;47;35;121;85;8;26;59;132;203;119;151;376;217;569
1867;70;22;32;58;35;72;93;70;53;97;9;113;125;235;159;177;381;352;724
1868;32;32;69;49;82;60;99;47;32;25;28;80;200;206;85;138;369;232;635
1869;15;43;41;45;16;15;46;82;20;60;58;67;102;143;138;155;224;285;508
1870;54;34;12;14;43;60;75;57;42;71;84;58;69;192;197;119;291;306;604
1871;50;11;32;26;38;76;50;38;26;92;141;41;96;164;259;85;254;345;621
1872;26;18;27;20;22;91;21;92;82;40;73;30;69;204;195;173;328;318;542
1873;43;100;32;38;83;78;14;27;74;48;39;15;153;119;161;57;314;165;591
1874;14;28;21;34;71;122;16;138;15;30;36;142;126;276;81;191;396;281;667
1875;35;14;24;19;34;29;70;21;16;143;29;38;77;120;188;178;189;431;472
1876;22;118;81;23;55;100;49;55;75;34;46;57;159;204;155;120;357;233;715
1877;18;45;33;62;61;45;52;20;33;11;42;76;156;117;86;164;273;281;498
1878;70;18;64;30;32;31;36;111;82;59;75;49;126;178;216;149;322;338;657
1879;42;58;55;94;102;53;80;47;41;60;24;36;251;180;125;94;417;214;692
1880;30;28;36;28;152;15;25;154;45;40;70;76;216;194;155;105;419;279;699
1881;26;3;64;33;71;58;21;86;63;106;22;11;168;165;191;22;332;174;564
1882;1;10;24;30;21;41;80;47;70;56;85;104;75;168;211;157;289;328;569
1883;43;10;30;40;24;66;92;37;63;28;41;37;94;195;132;68;322;159;511
1884;25;6;22;66;3;93;39;29;19;135;12;58;91;161;166;127;249;298;507
1885;46;23;24;20;85;31;90;56;32;69;78;28;129;177;179;102;314;290;582
1886;68;6;41;43;26;143;79;28;16;80;22;35;110;250;118;61;335;219;587
1887;19;7;56;8;132;17;17;63;29;91;89;76;196;97;209;211;266;439;604
1888;37;98;48;123;22;94;112;81;54;90;19;35;193;287;163;91;486;272;813
1889;9;47;72;58;19;37;66;33;53;95;41;36;149;136;189;69;266;222;566
1890;32;1;17;93;39;51;35;58;22;43;114;27;149;144;179;112;298;311;532
1891;74;11;42;104;35;101;94;46;9;19;19;52;181;241;47;146;389;243;606
1892;51;43;59;32;57;106;49;17;68;69;8;16;148;172;145;113;329;216;575
1893;64;33;26;2;60;139;102;12;40;47;71;33;88;253;158;66;355;195;629
1894;4;29;11;73;101;42;33;44;21;113;22;25;185;119;156;83;314;294;518
1895;35;23;76;60;119;89;49;60;9;73;11;92;255;198;93;144;386;268;696
1896;29;23;40;16;38;60;74;150;62;25;33;29;94;284;120;92;400;178;579
1897;41;22;28;34;80;47;126;81;29;68;3;12;142;254;100;60;397;164;571
1898;13;35;33;55;107;63;40;60;28;73;19;17;195;163;120;92;353;208;543
1899;40;35;24;69;125;45;53;42;80;24;11;101;218;140;115;226;414;350;649
1900;90;35;89;53;65;127;80;48;70;53;79;49;207;255;202;79;443;285;838
