# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-09-03T17:17:34Z
# station: Mosonmagyarovar
# abbr: MOS
# country_code: HU
# longitude: 17.2700
# latitude: 47.8500
# height: 121.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1871;-39;-20;43;90;114;153;201;200;160;71;21;-69;82;185;84;-26;153;11;77
1872;-20;12;50;110;164;169;203;172;158;114;64;30;108;181;112;12;163;47;102
1873;4;2;66;87;109;171;216;215;137;113;49;-1;87;201;100;-8;156;28;97
1874;-21;-1;30;109;98;179;221;172;168;94;-5;-9;79;191;86;-26;158;0;86
1875;-23;-46;-10;85;150;206;196;202;137;73;21;-33;75;201;77;-35;163;6;80
1876;-57;-15;47;120;109;186;198;199;135;105;-10;19;92;194;77;14;158;27;86
1877;9;13;27;79;113;194;192;211;122;73;47;-9;73;199;81;-8;152;22;89
1878;-30;14;34;103;144;177;184;190;165;106;48;-20;94;184;106;-13;161;24;93
1879;-28;9;31;88;122;184;171;197;166;78;1;-85;80;184;82;-45;155;-4;78
1880;-31;-20;31;120;128;177;214;175;150;89;47;28;93;189;95;-11;161;23;92
1881;-49;-13;36;72;138;168;206;192;131;61;23;-1;82;189;72;5;151;30;80
1882;1;14;81;98;145;161;198;165;152;100;40;10;108;175;97;0;153;24;97
1883;-21;12;3;71;144;181;198;181;146;94;33;-8;73;187;91;4;154;32;86
1884;5;15;51;79;152;148;204;180;145;83;17;8;94;177;82;1;151;25;91
1885;-24;18;45;120;129;191;201;172;154;96;44;-18;98;188;98;-22;161;13;94
1886;-21;-26;5;113;143;169;192;194;166;109;56;15;87;185;110;-14;163;24;93
1887;-38;-18;22;100;133;170;226;182;159;69;45;-19;85;193;91;-33;162;7;86
1888;-36;-43;26;89;152;182;172;176;143;74;8;3;89;177;75;-13;152;9;79
1889;-27;-15;11;96;183;209;198;179;119;111;28;-43;97;195;86;-21;164;22;87
1890;3;-22;57;98;162;161;191;212;139;81;34;-59;106;188;85;-59;161;-4;88
1891;-80;-39;40;73;163;172;187;179;153;119;31;6;92;179;101;-2;155;28;84
1892;-21;9;25;105;149;181;192;219;168;95;16;-34;93;197;93;-40;169;6;92
1893;-94;8;47;94;145;174;197;192;150;112;23;1;95;188;95;-6;159;29;87
1894;-37;19;58;128;152;161;215;191;134;102;46;-10;113;189;94;-28;164;14;97
1895;-24;-50;19;94;141;177;207;187;161;88;47;-9;85;190;99;-25;161;20;87
1896;-60;-7;60;74;131;180;196;170;151;113;24;-2;88;182;96;-1;150;34;86
1897;-15;14;67;95;131;192;200;196;154;79;17;-9;98;196;83;4;161;27;93
1898;0;20;55;115;152;165;184;194;150;102;65;15;107;181;106;14;160;41;101
1899;21;6;37;101;143;173;198;189;149;82;60;-44;94;187;97;-2;159;25;93
1900;-1;40;14;88;139;182;207;184;156;105;71;11;80;191;111;-28;159;22;100
