# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-07-09T09:09:42Z
# station: Bratislava
# abbr: BRL
# country_code: SK
# longitude: 17.1000
# latitude: 48.1700
# height: 280.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1860;51;24;25;75;45;56;46;79;48;30;65;48;145;181;143;122;349;268;592
1861;55;19;51;26;132;105;61;36;22;10;50;18;209;202;82;141;382;226;585
1862;70;53;25;45;145;102;45;36;16;26;60;37;215;183;102;81;389;223;660
1863;38;6;56;67;28;42;72;13;58;24;53;74;151;127;135;126;280;292;531
1864;9;43;89;40;65;111;61;91;63;60;50;22;194;263;173;99;431;268;704
1865;38;39;59;4;38;41;86;98;4;42;21;7;101;225;67;83;271;207;477
1866;18;58;61;11;103;19;26;172;69;10;30;67;175;217;109;164;400;254;644
1867;64;33;50;70;59;65;88;8;57;74;12;127;179;161;143;183;347;320;707
1868;29;27;51;75;70;45;75;51;11;37;24;71;196;171;72;138;327;238;566
1869;15;52;39;30;45;24;55;61;25;70;85;59;114;140;180;137;240;314;560
1870;56;22;22;29;30;46;86;113;49;78;51;64;81;245;178;150;353;305;646
1871;77;9;26;31;35;78;56;43;28;102;159;49;92;177;289;73;271;358;693
1872;14;10;24;30;20;104;31;121;33;44;82;36;74;256;159;171;339;316;549
1873;31;104;19;45;83;43;26;47;73;21;37;16;147;116;131;76;317;181;545
1874;20;40;47;26;90;167;34;49;15;2;43;150;163;250;60;234;381;330;683
1875;49;35;51;22;37;64;80;45;16;123;70;84;110;189;209;221;264;478;676
1876;24;113;64;22;34;69;27;54;76;16;56;54;120;150;148;170;282;293;609
1877;22;94;51;49;63;24;80;48;32;12;52;76;163;152;96;197;296;343;603
1878;91;30;82;55;57;53;91;64;83;53;100;53;194;208;236;137;403;345;812
1879;30;54;55;133;187;104;113;51;31;71;53;32;375;268;155;113;619;283;914
1880;45;36;46;18;269;34;35;161;51;44;58;94;333;230;153;126;568;292;891
1881;21;11;64;44;84;40;22;98;103;122;31;18;192;160;256;35;391;208;658
1882;2;15;20;30;19;40;65;73;90;71;87;64;69;178;248;128;317;307;576
1883;45;19;21;29;51;176;57;83;58;40;39;76;101;316;137;111;454;210;694
1884;30;5;20;92;15;83;67;58;29;173;9;67;127;208;211;149;344;358;648
1885;45;37;27;27;123;47;173;79;39;62;83;28;177;299;184;130;488;331;770
1886;96;6;56;55;47;190;76;13;7;62;38;57;158;279;107;87;388;238;703
1887;18;12;51;10;69;27;15;78;35;90;116;98;130;120;241;237;234;485;619
1888;64;75;42;127;6;99;94;97;38;85;35;48;175;290;158;122;461;308;810
1889;13;61;66;36;23;43;65;45;96;132;32;55;125;153;260;87;308;262;667
1890;27;5;11;100;41;71;93;86;45;30;114;18;152;250;189;105;436;301;641
1891;76;11;52;104;44;104;128;59;16;9;16;38;200;291;41;156;455;242;657
1892;78;40;61;68;51;78;115;8;78;85;8;55;180;201;171;234;398;363;725
1893;141;38;36;6;71;83;185;40;25;58;69;32;113;308;152;62;410;208;784
1894;6;24;19;74;49;122;53;79;44;149;19;29;142;254;212;173;421;439;667
1895;103;41;98;87;172;102;69;51;20;71;14;143;357;222;105;192;501;333;971
1896;29;20;56;21;63;56;99;196;32;18;43;29;140;351;93;108;467;235;662
1897;42;37;66;42;58;70;165;77;29;61;6;11;166;312;96;94;441;197;664
1898;28;55;36;50;148;56;56;70;71;62;19;29;234;182;152;91;451;183;680
1899;33;29;11;51;182;38;124;48;118;27;20;110;244;210;165;260;561;418;791
1900;104;46;111;61;84;99;57;57;21;61;58;95;256;213;140;153;379;337;854
