# parameter: Mean temperature
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2015-08-12T20:16:48Z
# station: Bratislava
# abbr: BRL
# country_code: SK
# longitude: 17.1000
# latitude: 48.1700
# height: 280.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1850;-67;15;3;97;139;179;178;193;129;85;47;-2;80;183;87;-13;153;21;83
1851;-30;-8;35;96;103;163;175;180;125;111;-6;-11;78;173;77;-3;140;17;78
1852;-9;10;6;63;142;184;203;193;151;80;65;24;70;193;99;3;156;26;93
1853;-4;-12;0;54;141;171;202;191;147;99;18;-49;65;188;88;-29;151;9;80
1854;-26;-11;25;84;147;161;193;177;139;93;5;20;85;177;79;-22;150;10;84
1855;-43;-42;28;74;131;178;192;195;142;121;29;-67;78;188;97;-26;152;13;78
1856;-16;5;5;108;137;185;173;208;139;96;-13;-18;83;189;74;-31;158;1;84
1857;-33;-42;16;96;133;173;207;208;155;123;8;-1;82;196;95;-42;162;2;87
1858;-49;-77;6;81;129;194;189;178;168;115;-25;-8;72;187;86;-6;157;22;75
1859;-27;16;60;92;140;172;225;216;139;106;21;-45;97;204;89;-25;164;11;93
1860;-6;-24;12;84;147;173;166;185;151;79;8;-17;81;175;79;-16;151;14;80
1861;-58;28;43;72;112;188;197;212;165;102;32;-26;76;199;100;-28;158;19;89
1862;-44;-13;60;117;156;169;198;185;162;115;33;-23;111;184;103;1;165;35;93
1863;14;13;59;86;154;179;192;219;170;117;46;4;100;197;111;-32;167;20;104
1864;-86;-15;52;61;112;175;174;168;149;82;20;-38;75;172;84;-35;140;-3;71
1865;-12;-56;-15;104;172;157;221;186;158;107;47;-9;87;188;104;1;166;33;88
1866;-8;20;43;112;113;201;190;172;173;78;33;-16;89;188;95;-4;160;20;93
1867;-20;25;18;93;135;170;181;202;164;86;9;-38;82;184;86;-17;158;14;85
1868;-31;18;37;84;176;194;201;201;179;113;19;28;99;199;104;6;173;29;102
1869;-39;30;22;114;172;156;210;184;165;68;32;5;103;183;88;-23;167;6;93
1870;-21;-52;5;85;156;170;201;178;130;85;52;-46;82;183;89;-39;153;10;79
1871;-45;-26;38;86;109;148;198;201;163;72;16;-75;78;182;84;-32;151;6;74
1872;-26;6;45;106;159;164;200;173;161;115;59;24;103;179;112;6;161;42;99
1873;-2;-4;61;83;104;166;213;216;140;114;44;-7;83;198;99;-14;154;24;94
1874;-27;-7;25;105;93;174;218;173;171;95;-10;-15;74;188;85;-32;156;-4;83
1875;-29;-52;-15;81;145;201;193;203;140;74;16;-39;70;199;77;-41;161;2;77
1876;-63;-21;42;116;104;181;195;200;138;106;-15;13;87;192;76;8;156;23;83
1877;3;7;22;75;108;189;189;212;125;74;42;-15;68;197;80;-14;150;17;86
1878;-36;8;29;99;139;172;181;191;168;107;43;-26;89;181;106;-19;158;20;90
1879;-34;3;26;84;117;179;168;198;169;79;-4;-91;76;182;81;-51;153;-9;75
1880;-37;-26;26;116;123;172;211;176;153;90;42;22;88;186;95;-18;159;17;89
1881;-57;-20;26;65;129;164;201;194;132;57;16;-8;73;186;68;-2;148;24;75
1882;-5;8;78;93;142;155;195;164;149;96;32;2;104;171;92;-7;150;16;92
1883;-28;4;-11;66;140;176;190;179;145;91;29;-11;65;182;88;1;149;28;81
1884;3;11;46;74;146;142;199;183;156;84;11;2;89;175;84;-8;150;18;88
1885;-33;8;38;113;119;185;196;174;152;92;36;-26;90;185;93;-28;157;6;88
1886;-26;-33;-6;103;137;161;189;200;176;108;47;2;78;183;110;-21;161;18;88
1887;-38;-26;15;90;126;163;219;185;162;68;40;-29;77;189;90;-40;158;2;81
1888;-46;-46;22;78;147;175;176;179;150;78;7;-4;82;177;78;-20;151;4;76
1889;-33;-23;1;86;179;203;192;181;121;108;24;-46;89;192;84;-24;160;18;83
1890;-3;-24;51;89;158;155;185;212;139;83;32;-62;99;184;85;-63;156;-7;85
1891;-86;-41;29;65;160;165;180;173;156;117;27;-1;85;173;100;-10;150;21;79
1892;-25;-3;12;90;137;171;184;214;163;92;11;-36;80;190;89;-47;160;1;84
1893;-103;-1;40;87;133;163;188;185;147;107;20;-5;87;179;91;-14;151;23;80
1894;-47;11;49;118;144;151;201;181;132;98;41;-15;104;178;90;-37;155;6;89
1895;-35;-62;11;85;129;168;200;183;168;87;45;-16;75;184;100;-31;156;16;80
1896;-66;-11;54;69;123;179;192;165;151;120;22;-8;82;179;98;-8;147;29;83
1897;-19;4;56;88;119;182;190;192;152;80;12;-16;88;188;81;-4;154;21;87
1898;-7;10;46;101;143;166;174;198;151;100;58;8;97;179;103;7;156;34;96
1899;13;0;25;90;128;162;185;183;144;83;54;-49;81;177;94;-11;149;18;85
1900;-11;26;3;77;120;173;201;184;160;101;60;-1;67;186;107;-39;153;12;91
