Year;Birth;Marriage;Death;diff;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;
1758;103;31;70;33;13;15;14;5;5;5;2;4;7;13;9;11;10;9;3;3;5;7;2;9;3;7;5;7;
1759;106;29;64;42;11;10;7;4;3;6;11;5;11;15;10;13;6;6;9;7;10;8;4;3;3;1;3;4;
1760;143;22;51;92;19;15;18;5;13;6;10;9;13;14;8;13;2;7;13;9;3;3;2;0;1;5;1;5;
1761;154;32;46;108;14;16;14;9;9;11;10;10;12;14;15;20;5;7;4;4;4;1;5;4;1;3;4;4;
1762;106;27;54;52;13;12;12;8;5;3;8;10;6;10;10;9;10;7;8;5;8;2;3;1;5;1;3;1;
1763;140;24;61;79;8;19;12;4;11;10;7;12;16;16;16;9;3;5;5;8;3;3;2;6;3;7;5;11;
1764;123;33;76;47;16;13;16;8;7;3;2;6;10;10;13;19;6;10;18;11;5;5;4;5;2;2;2;6;
1765;144;29;34;110;13;18;9;15;8;5;4;10;15;16;15;16;4;4;5;3;5;1;3;0;0;4;2;3;
1766;123;23;48;75;13;20;17;7;5;5;7;11;12;9;8;9;4;4;8;7;2;3;0;4;1;5;4;6;
1767;128;29;40;88;13;4;9;7;4;5;8;7;17;18;19;17;3;1;2;5;10;0;3;2;2;2;6;4;
1768;117;23;53;64;15;5;10;14;5;6;8;8;8;13;9;16;5;8;7;9;4;4;2;5;0;2;3;4;
1769;129;44;41;88;10;13;11;7;6;7;9;10;9;17;11;19;6;5;4;7;4;4;2;1;3;2;1;2;
1770;141;41;42;99;12;8;17;9;4;9;9;14;15;9;13;22;4;5;10;4;4;3;1;2;0;6;0;3;
1771;143;14;55;88;18;13;14;19;10;9;7;6;13;7;15;12;6;6;3;9;6;4;4;1;6;1;7;2;
1772;123;22;88;35;9;10;12;12;11;4;11;8;15;11;9;11;3;5;4;8;4;2;4;2;2;11;31;12;
1773;120;42;90;30;18;8;10;11;12;4;8;8;8;12;12;9;8;11;23;24;12;2;1;1;2;0;5;1;
1774;182;49;58;124;22;13;14;13;16;14;10;16;18;10;16;20;4;5;3;10;8;4;1;6;6;2;3;6;
1775;150;25;66;84;17;20;16;13;16;7;10;7;8;12;11;13;3;3;3;3;4;5;3;4;6;4;12;16;
1776;125;41;174;-49;13;17;9;9;6;3;6;3;9;10;22;18;24;12;21;17;16;2;4;9;14;14;22;19;
1777;188;36;101;87;31;15;12;15;7;10;6;14;20;24;17;17;19;17;13;5;3;2;3;6;5;6;9;13;
1778;152;65;154;-2;16;18;16;9;5;7;8;14;7;19;19;14;11;10;28;23;11;11;10;11;15;8;7;9;
1779;164;30;144;20;18;16;16;7;8;6;11;7;17;15;23;20;11;6;13;10;8;16;28;24;13;4;8;3;
1780;192;49;66;126;20;21;16;12;12;10;12;9;24;17;23;16;16;10;6;12;3;4;0;3;4;3;3;2;
1781;165;31;71;94;16;16;13;13;8;8;11;17;12;10;23;18;9;8;16;2;10;6;3;2;3;10;0;2;
1782;162;22;232;-70;23;10;25;8;8;10;7;18;9;11;13;20;12;3;11;13;10;5;8;19;26;42;54;29;
1783;165;34;190;-25;19;12;18;9;9;6;7;12;18;21;25;9;40;34;49;17;17;6;4;6;1;6;6;4;
1784;170;29;91;79;16;23;17;18;14;7;14;10;8;15;13;15;5;5;10;10;6;8;3;7;11;7;8;11;
1785;126;23;138;-12;13;11;17;8;7;5;6;9;8;19;14;9;5;8;18;30;15;15;15;6;4;9;5;8;
