Jahr;Taufen;;Jan;Feb;Mrz;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez
1758;75;;13;15;14;5;5;5;2;4;7;13;9;11
1759;85;;11;10;7;4;3;6;11;5;11;15;10;13
1760;109;;19;15;18;5;13;6;10;9;13;14;8;13
1761;124;;14;16;14;9;9;11;10;10;12;14;15;20
1762;81;;13;12;12;8;5;3;8;10;6;10;10;9
1763;113;;8;19;12;4;11;10;7;12;16;16;16;9
1764;94;;16;13;16;8;7;3;2;6;10;10;13;19
1765;113;;13;18;9;15;8;5;4;10;15;16;15;16
1766;90;;13;20;17;7;5;5;7;11;12;9;8;9
1767;111;;13;4;9;7;4;5;8;7;17;18;19;17
1768;97;;15;5;10;14;5;6;8;8;8;13;9;16
1769;106;;10;13;11;7;6;7;9;10;9;17;11;19
1770;121;;12;8;17;9;4;9;9;14;15;9;13;22
1771;112;;18;13;14;19;10;9;7;6;13;7;15;12
1772;104;;9;10;12;12;11;4;11;8;15;11;9;11
1773;94;;18;8;10;11;12;4;8;8;8;12;12;9
1774;147;;22;13;14;13;16;14;10;16;18;10;16;20
1775;113;;17;20;16;13;16;7;10;7;8;12;11;13
1776;95;;13;17;9;9;6;3;6;3;9;10;22;18
1777;142;;31;15;12;15;7;10;6;14;20;24;17;17
1778;118;;16;18;16;9;5;7;8;14;7;19;19;14
1779;130;;18;16;16;7;8;6;11;7;17;15;23;20
1780;151;;20;21;16;12;12;10;12;9;24;17;23;16
1781;133;;16;16;13;13;8;8;11;17;12;10;23;18
1782;129;;23;10;25;8;8;10;7;18;9;11;13;20
1783;134;;19;12;18;9;9;6;7;12;18;21;25;9
1784;131;;16;23;17;18;14;7;14;10;8;15;13;15
1785;102;;13;11;17;8;7;5;6;9;8;19;14;9
1786;150;;10;16;16;11;11;13;13;14;12;21;20;19
1787;96;;23;23;15;16;4;12;7;7;8;11;8;8
1788;80;;16;15;17;3;5;4;6;9;9;7;7;13
1789;73;;9;8;7;3;6;3;5;10;12;9;9;9
1790;66;;10;9;7;7;4;3;2;7;6;11;14;5
1791;78;;7;6;6;0;5;2;4;7;11;19;13;11
1792;66;;10;10;4;4;7;2;7;6;8;9;8;11
1793;86;;16;20;10;4;6;3;9;9;7;12;12;14
1794;83;;18;17;14;8;7;4;5;9;7;10;9;10
1795;54;;13;14;7;8;3;1;4;3;8;4;8;8
1796;76;;13;7;4;6;6;4;7;9;6;11;12;11
1797;79;;8;21;16;1;4;2;13;5;13;5;9;11
1798;68;;7;10;11;4;8;4;3;7;8;8;8;7
1799;84;;8;9;4;5;10;6;7;5;11;11;7;18
1800;87;;10;14;13;3;7;4;3;10;5;14;13;15
1801;75;;10;6;6;6;7;3;6;6;5;7;8;21
1802;111;;13;11;16;8;5;8;4;7;16;16;13;18
1803;57;;8;17;9;7;1;6;3;6;6;8;3;8
1804;89;;11;6;7;11;6;3;5;7;7;13;16;14
1805;65;;10;12;13;6;5;6;1;6;6;12;7;3
1806;46;;5;8;2;3;1;0;3;3;6;13;7;8
1807;73;;19;7;7;2;4;2;7;12;10;8;9;12
1808;64;;16;15;7;5;7;4;5;5;8;9;8;6
1809;59;;8;10;6;15;7;6;4;5;4;3;4;5
1810;73;;8;7;15;8;5;0;2;5;10;10;9;9
1811;93;;13;12;9;9;7;11;5;8;11;17;7;9
1812;72;;13;10;10;6;3;3;3;10;9;9;13;6
1813;86;;10;12;14;7;3;6;2;6;8;12;16;12
1814;80;;12;9;7;7;11;6;5;3;11;6;12;12
1815;74;;10;6;4;2;5;1;4;9;10;15;14;10
1816;78;;10;9;6;8;3;3;8;11;9;10;14;6
1817;57;;6;18;7;7;5;3;4;2;7;7;8;7
1818;58;;4;5;3;1;2;3;4;5;9;10;10;11
1819;112;;13;8;18;9;8;7;6;12;15;12;10;15
1820;58;;15;4;10;3;3;0;6;2;9;8;3;14
1821;97;;12;19;12;9;14;8;6;10;8;8;9;13
1822;65;;8;13;8;3;9;2;3;6;9;5;10;10
1823;78;;10;15;12;4;11;4;5;5;14;6;7;10
1824;105;;6;11;5;6;4;9;12;12;10;10;23;14
1825;104;;20;19;12;8;7;4;7;11;7;14;10;24
1826;76;;7;20;10;9;6;0;2;5;7;12;13;12
1827;71;;16;15;11;8;8;1;5;1;7;5;16;9
1828;83;;17;13;11;3;4;4;3;9;14;7;14;14
1829;65;;12;7;8;2;2;1;4;2;12;7;16;11
1830;66;;17;9;4;8;3;1;2;5;10;9;11;13
1831;89;;13;10;14;4;7;7;7;15;9;7;7;12
1832;72;;6;11;5;3;4;4;5;4;8;10;19;10
1833;85;;11;7;9;5;8;4;8;6;12;12;11;10
1834;91;;14;19;18;7;7;7;4;6;6;9;16;11
1835;65;;19;11;12;12;1;8;6;4;6;4;6;6
1836;106;;3;1;2;6;8;9;4;17;8;18;18;16
1837;89;;24;19;14;9;6;4;4;9;5;18;11;9
1838;70;;7;21;9;6;4;6;3;8;5;6;11;12
1839;104;;23;8;14;7;7;5;5;10;15;11;15;15
1840;96;;7;22;12;5;11;5;6;11;8;15;16;7
1841;77;;12;12;15;5;2;3;6;9;4;5;16;12
1842;111;;13;5;10;7;7;7;10;16;14;17;10;13
1843;95;;10;12;6;10;9;7;6;8;12;14;10;13
1844;90;;19;14;11;5;9;12;3;4;13;9;10;14
1845;90;;16;20;15;6;5;1;10;8;6;6;13;20
1846;67;;12;11;11;8;5;3;7;5;5;7;10;6
1847;61;;14;16;8;4;4;8;9;4;5;6;10;3
1848;61;;5;5;2;2;0;4;2;3;6;7;19;16
1849;106;;14;12;15;6;10;5;15;11;10;17;10;7
1850;90;;14;8;11;4;3;11;9;5;11;9;14;13
1851;80;;12;11;11;6;6;9;3;8;8;8;17;4
1852;111;;22;20;12;10;10;6;6;9;16;11;16;15
1853;70;;13;13;14;6;2;2;5;7;10;8;8;8
1854;68;;10;9;9;9;5;4;4;3;9;12;7;6
1855;64;;9;12;8;6;1;2;9;7;8;5;10;8
1856;93;;9;14;10;4;10;7;7;5;13;9;13;15
1857;87;;13;10;9;9;2;3;11;6;10;10;17;10
1858;52;;19;15;8;4;3;4;6;7;4;5;5;6
1859;88;;9;10;6;6;11;6;8;14;6;10;11;10
1860;71;;9;9;10;3;3;7;5;9;7;6;10;11
1861;80;;12;10;16;5;3;1;4;5;5;18;13;10
1862;75;;12;10;10;5;5;6;6;8;12;8;12;3
1863;94;;15;21;14;9;11;7;4;7;8;11;16;7
1864;63;;9;12;7;5;3;6;10;4;6;9;9;4
1865;96;;7;6;7;5;6;6;8;12;13;19;8;12
1866;92;;15;11;10;3;3;9;8;9;19;13;6;12
1867;66;;17;14;14;5;7;1;6;5;10;5;5;8
1868;109;;4;5;6;4;7;6;10;10;15;14;19;18
1869;99;;13;13;14;12;8;4;7;5;11;12;15;11
1870;94;;14;13;10;10;3;5;10;12;9;13;13;9
1871;95;;11;9;10;7;3;2;3;10;16;11;18;15
1872;94;;14;9;16;6;8;4;6;7;11;11;14;11
1873;118;;14;16;16;13;8;9;8;14;10;14;11;15
1874;84;;23;14;11;8;8;6;13;1;8;11;7;11
1875;102;;6;14;7;4;5;3;14;9;14;20;12;14
1876;105;;13;16;20;9;6;5;13;13;11;12;6;10
1877;81;;11;15;8;8;5;3;3;11;12;11;10;10
1878;112;;10;8;20;8;14;4;8;11;19;11;9;8
1879;102;;8;7;22;9;8;2;8;13;11;8;9;12
1880;84;;13;16;7;4;3;11;12;11;6;7;12;11
1881;76;;13;11;10;1;6;5;4;12;11;8;11;8
1882;109;;14;12;14;7;2;16;14;9;12;13;13;9
1883;114;;17;8;10;6;7;11;10;11;13;15;11;20
