year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
1860;0.8;-0.85;2.55;10.0;16.05;18.8;17.7;19.2;15.95;8.25;2.6;-0.95
1861;-4.5;3.05;5.15;7.85;12.15;19.85;20.5;21.35;16.4;10.6;4.1;-2.5
1862;-3.3;-0.8;6.6;12.75;16.6;18.1;20.65;19.15;16.65;11.85;4.1;-1.3
1863;2.0;2.15;6.75;9.5;17.0;18.85;19.95;21.7;17.05;12.25;5.15;1.05
1864;-7.7;-0.5;6.1;6.85;12.15;18.7;18.2;17.35;15.5;8.6;3.5;-3.4
1865;-0.4;-4.2;-0.1;11.7;18.15;16.35;22.85;19.2;15.75;10.55;5.15;-0.55
1866;0.1;3.1;5.4;12.3;12.5;21.2;19.75;17.55;17.65;7.85;4.15;-0.85
1867;-0.4;3.7;2.75;10.35;14.95;18.0;19.0;20.35;16.3;9.1;2.1;-2.1
1868;-1.55;2.7;4.25;9.6;18.2;20.35;20.75;20.4;17.7;12.0;3.3;3.3
1869;-2.75;4.2;3.4;12.65;18.15;16.7;22.15;18.7;16.45;8.0;4.35;1.05
1870;-1.5;-4.85;1.95;9.15;16.3;17.65;21.0;17.55;13.0;9.05;5.6;-3.9
1871;-3.75;-1.15;4.9;9.45;11.75;15.65;20.85;20.05;16.2;7.75;3.1;-7.05
1872;-1.55;0.65;6.2;12.4;17.6;17.6;20.75;18.35;16.4;12.7;6.4;3.1
1873;0.75;0.5;7.3;9.15;11.85;17.6;22.1;21.4;14.15;12.25;5.1;0.05
1874;-1.3;-0.2;3.6;12.05;11.45;19.3;22.8;18.4;17.2;10.15;0.75;-0.1
1875;-1.2;-5.05;-0.5;8.7;15.75;21.45;20.15;20.25;14.05;7.95;3.05;-2.55
1876;-5.35;-0.9;6.0;12.85;11.35;19.2;20.4;20.2;14.1;10.85;0.3;2.25
1877;1.0;1.85;3.55;8.25;12.5;20.3;19.8;21.4;12.45;7.6;4.6;-0.45
1878;-2.55;2.0;4.0;10.6;15.35;18.25;18.9;19.3;16.65;11.2;4.6;-2.0
1879;-2.65;1.6;3.45;9.4;13.2;19.2;17.75;19.8;16.35;8.5;0.95;-9.15
1880;-3.15;-1.75;3.1;12.4;13.65;17.95;21.95;17.45;15.25;9.55;4.9;3.05
1881;-4.95;-1.5;4.1;7.1;14.45;17.6;21.4;19.6;13.55;6.8;2.65;0.1
1882;0.15;1.55;9.2;10.15;15.2;16.55;20.45;16.8;15.3;10.25;4.75;1.4
1883;-2.25;1.05;0.25;7.7;15.1;18.45;19.85;18.6;14.7;9.85;3.6;0.2
1884;1.25;1.6;5.4;8.4;15.75;15.6;20.8;18.05;15.15;8.8;1.6;1.3
1885;-2.85;1.5;5.4;12.4;13.0;20.0;20.55;17.55;15.5;9.75;4.6;-1.9
1886;-1.3;-2.55;0.8;11.3;15.05;16.9;20.1;19.9;17.05;10.9;5.25;1.5
1887;-3.25;-2.05;2.05;9.55;13.1;16.75;22.3;18.7;16.0;6.8;4.7;-2.0
1888;-4.0;-3.65;4.1;8.8;15.5;18.35;18.5;18.65;15.15;8.25;1.25;-0.1
1889;-2.75;-1.25;1.5;9.8;17.95;20.65;20.0;18.4;12.3;11.1;3.2;-4.35
1890;0.25;-2.0;6.0;10.0;16.25;16.4;19.7;21.7;14.4;8.8;4.5;-4.7
1891;-6.65;-3.4;3.9;7.7;17.0;17.5;19.2;18.0;15.55;11.75;3.25;1.0
1892;-1.95;0.1;1.85;10.1;14.2;17.7;19.1;21.4;16.85;9.6;1.6;-2.9
1893;-8.95;0.85;5.15;9.55;14.25;17.25;19.65;18.9;14.95;10.95;3.05;0.35
1894;-3.9;2.05;5.95;12.7;15.0;16.4;21.45;19.0;13.5;10.25;4.2;-0.75
1895;-2.65;-5.55;2.3;9.45;14.25;17.65;20.8;18.35;16.2;9.2;5.15;-0.55
1896;-6.05;-0.45;6.0;7.5;13.6;18.6;20.2;17.1;15.15;12.05;2.9;-0.1
1897;-1.1;1.65;6.8;9.8;13.15;18.95;19.8;19.35;15.35;8.2;1.5;-1.4
1898;-0.6;1.5;5.3;10.75;14.95;17.0;18.05;19.75;14.75;10.05;5.75;1.6
1899;1.6;0.45;3.3;9.95;13.45;16.45;19.3;18.35;14.5;8.45;5.65;-4.15
1900;0.05;3.6;1.55;8.9;13.25;17.95;21.05;18.55;15.9;10.25;6.55;1.2
