year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1780,-3.6,-2.85,7.5,7.95,15.35,17.4,20.0,19.7,14.95,10.65,4.3,-2.15
1781,-2.25,0.3,5.7,10.85,15.7,19.6,20.85,22.15,17.65,7.9,5.3,-0.35
1782,-0.6,-3.0,4.05,8.8,14.9,19.5,21.3,20.2,14.7,8.65,1.7,0.35
1783,1.1,3.8,3.9,10.7,16.9,19.75,21.35,20.2,16.35,10.0,3.55,-4.45
1784,-5.75,-1.6,3.65,7.75,16.8,18.5,19.75,20.05,17.5,6.55,3.7,-0.4
1785,-3.7,-2.25,-3.25,6.9,14.55,16.8,18.85,18.45,17.5,9.1,4.4,-0.2
1786,-2.1,0.15,4.7,10.75,13.2,18.15,18.3,17.45,14.2,6.85,1.5,-0.8
1787,-3.0,2.15,5.85,7.65,12.4,18.45,19.6,19.95,14.3,10.85,4.85,2.75
1788,0.35,0.3,6.0,9.6,14.65,19.4,22.5,16.95,16.7,9.15,1.95,-8.15
1789,-3.1,2.3,1.7,11.7,18.0,17.35,20.45,18.8,15.9,11.05,4.8,-0.3
1790,-1.1,3.8,5.35,8.6,16.4,20.3,18.95,20.1,14.5,9.3,3.65,2.5
1791,3.2,1.5,6.1,11.75,14.7,17.75,20.6,21.55,14.7,9.65,3.55,1.4
1792,-1.0,-0.8,4.85,10.6,14.15,18.95,20.8,19.75,15.35,8.75,3.45,0.5
1793,-3.8,2.0,3.7,8.25,13.6,16.25,21.65,20.5,15.55,11.3,4.6,2.25
1794,0.5,4.25,6.95,14.6,16.95,20.0,23.75,18.8,14.1,9.65,4.2,-1.45
1795,-8.45,-0.45,4.7,12.25,15.15,19.6,18.0,20.1,15.6,13.3,2.55,2.6
1796,4.2,2.2,1.55,8.0,15.5,18.0,20.35,20.55,18.1,9.9,3.55,-2.1
1797,-0.75,1.95,3.6,12.7,18.8,18.95,22.55,21.7,17.5,11.1,4.55,1.15
1798,0.1,3.6,6.05,10.85,15.55,18.85,20.35,20.6,17.8,9.75,3.0,-4.8
1799,-7.5,-2.05,3.45,9.35,14.65,16.7,19.45,20.35,15.1,11.15,4.5,-3.85
1800,-1.25,-0.55,-0.25,16.95,17.85,15.95,19.25,20.9,16.25,9.95,6.2,0.15
1801,0.45,0.0,7.9,10.6,17.65,16.85,19.35,18.3,17.1,12.05,6.15,1.35
1802,-2.15,0.3,5.2,10.65,14.35,19.65,20.55,21.6,16.4,13.35,6.45,1.7
1803,-5.0,-2.75,4.2,12.95,13.0,17.15,20.65,19.9,13.75,9.45,5.45,0.2
1804,2.65,-0.35,1.9,10.65,16.05,17.9,20.5,19.05,17.1,10.95,1.2,-3.15
1805,-2.3,-0.1,3.3,7.8,13.4,16.45,18.85,17.55,16.0,6.75,1.05,0.2
1806,3.4,2.75,5.8,7.7,17.0,17.5,19.85,18.45,16.1,8.8,5.9,4.2
1807,-0.25,1.95,2.5,8.35,16.95,17.1,21.3,24.5,15.85,11.65,6.45,0.35
1808,-1.9,-0.7,-1.85,7.85,16.95,18.1,21.2,21.5,16.55,8.95,3.65,-4.75
1809,-2.4,2.35,3.85,6.9,16.3,18.3,19.85,19.85,15.75,8.65,3.1,2.35
1810,-1.9,-0.3,5.8,9.5,16.25,15.6,19.65,19.7,18.35,9.9,4.3,2.1
1811,-5.45,-0.8,6.55,11.05,18.65,22.45,22.75,20.7,15.8,13.95,4.55,-0.05
1812,-5.1,1.25,5.05,5.95,16.15,18.3,18.7,18.45,13.9,12.5,3.05,-5.2
1813,-5.95,2.1,3.7,11.65,15.4,15.85,17.9,17.3,13.7,9.55,3.95,1.8
1814,-2.25,-4.1,4.55,11.4,11.65,16.4,20.0,18.7,12.4,9.0,3.8,2.7
1815,-3.15,2.65,6.0,9.65,15.15,17.9,17.35,17.45,13.85,10.1,2.95,-3.4
1816,0.15,-1.0,3.9,9.3,13.45,16.9,17.25,17.1,13.8,9.3,4.05,-1.6
1817,1.05,4.35,4.8,4.4,15.15,19.5,18.55,18.45,16.1,7.45,4.9,0.35
1818,0.15,0.9,6.25,11.4,14.7,18.35,19.8,18.15,15.2,10.55,4.3,-1.5
1819,-2.2,1.6,6.05,10.6,13.55,18.2,19.95,18.7,16.05,9.75,5.05,-1.3
