year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
1860;0.7;-2.7;1.1;7.93;14.07;16.7;15.57;17.3;14.27;7.5;1.2;-1.27
1861;-4.7;2.83;3.87;6.3;10.87;17.77;18.43;19.8;14.7;10.13;3.67;-2.43
1862;-3.1;-1.23;6.27;11.17;15.1;15.9;18.9;17.4;15.3;11.13;3.6;-0.83
1863;1.7;1.2;4.87;8.33;14.97;16.67;17.83;20.13;15.0;11.43;4.33;0.53
1864;-6.93;-1.0;4.73;5.43;11.07;16.37;16.6;15.8;14.0;7.5;2.43;-3.63
1865;-0.7;-4.73;-1.43;11.07;16.6;14.73;20.9;17.37;15.23;9.77;4.67;-0.77
1866;0.6;2.33;3.7;10.43;10.5;18.9;17.77;16.17;16.13;7.6;3.23;0.1
1867;-1.2;3.03;1.93;8.63;13.3;16.13;17.07;18.8;15.1;8.03;1.27;-3.0
1868;-2.7;1.83;2.53;7.8;17.17;18.2;18.7;18.67;16.73;10.37;2.07;3.47
1869;-3.17;4.1;1.67;10.83;15.9;14.27;20.37;16.73;15.43;6.7;3.3;0.23
1870;-2.27;-4.67;0.5;7.47;14.67;15.97;19.53;15.67;11.8;8.13;4.2;-4.9
1871;-4.73;-0.7;3.9;7.83;10.1;13.43;18.97;18.3;15.37;6.53;1.23;-6.73
1872;-1.17;0.63;5.0;10.23;14.8;15.7;18.9;16.6;15.2;11.4;5.67;2.93
1873;0.8;-0.5;6.0;7.43;9.9;15.87;20.27;19.57;12.9;10.97;3.97;-0.37
1874;-1.03;-0.8;2.43;10.2;9.5;17.3;21.0;16.4;16.1;9.9;0.37;-1.47
1875;-0.77;-5.43;-0.93;7.5;14.33;18.87;17.97;18.9;13.33;6.9;2.13;-2.87
1876;-4.5;-0.63;4.4;10.43;9.23;16.97;18.67;18.6;12.8;10.47;0.5;2.37
1877;1.07;1.13;2.1;6.7;10.43;18.7;17.73;19.57;11.17;6.77;4.3;-1.0
1878;-3.0;1.33;2.43;8.83;13.77;16.27;17.07;17.67;14.93;10.1;3.27;-2.43
1879;-2.7;0.6;2.4;7.5;10.6;17.2;15.83;18.63;14.97;7.37;0.07;-8.13
1880;-3.93;-2.1;3.17;10.23;11.6;15.77;19.97;16.13;14.3;8.73;4.1;2.8
1881;-5.3;-0.93;3.27;5.77;12.4;15.83;20.07;18.23;12.47;5.37;2.97;-0.03
1882;0.3;0.87;7.57;8.37;13.37;14.73;18.37;15.3;13.6;9.6;3.87;0.57
1883;-2.03;0.73;-1.27;6.37;13.37;16.43;17.9;17.17;13.63;8.6;3.23;-0.83
1884;1.03;1.37;4.63;6.97;14.13;13.43;19.23;17.13;14.07;7.6;1.2;0.53
1885;-3.0;1.9;3.6;10.73;11.17;18.23;18.83;16.43;14.33;8.4;3.87;-2.03
1886;-2.1;-3.47;0.07;9.83;13.4;14.87;18.43;18.07;15.97;10.03;4.27;0.37
1887;-3.6;-2.87;0.9;7.93;10.83;15.6;20.47;17.1;14.1;5.2;3.6;-2.7
1888;-4.1;-3.73;2.37;6.8;13.73;16.7;16.33;16.77;13.83;6.83;1.4;0.4
1889;-3.4;-2.87;0.23;7.77;16.03;18.53;17.87;16.63;11.13;9.6;2.87;-4.43
1890;0.53;-3.37;4.4;8.13;14.43;14.57;17.37;19.2;13.07;7.43;2.97;-5.57
1891;-6.83;-3.27;2.77;5.87;14.67;15.9;17.23;16.27;14.47;10.77;2.47;0.6
1892;-2.37;-0.17;0.67;8.5;12.6;16.0;17.3;19.93;15.43;8.5;2.17;-3.27
1893;-8.8;0.47;4.03;9.1;12.4;15.8;17.97;17.7;13.77;10.27;2.0;-0.5
1894;-3.6;0.83;4.5;11.17;12.77;14.77;19.4;17.33;12.17;9.03;3.8;-1.5
1895;-4.07;-7.0;1.37;8.37;12.37;15.97;19.1;17.07;16.0;8.2;5.0;-0.63
1896;-5.43;-1.17;5.17;5.73;11.3;16.7;18.33;15.2;13.67;10.17;1.6;-0.53
1897;-1.7;1.5;5.5;8.07;10.97;17.27;17.77;17.53;13.47;7.37;1.83;-1.1
1898;0.43;0.23;3.67;9.03;12.87;15.27;16.23;18.73;14.2;9.67;5.37;1.2
1899;1.23;0.77;2.67;8.1;11.53;14.87;17.47;17.2;13.17;8.23;5.03;-4.1
1900;-0.43;2.7;0.1;7.13;11.23;16.3;19.3;16.8;15.07;9.27;5.47;1.47
