Year,Jan,Feb,Mrz,Apr,Mai,Jun,Jul,Aug,Sep,Okt,Nov,Dez
1759,7.25,8.0,8.08333333333,8.41666666667,8.58333333333,8.66666666667,8.83333333333,9.5,9.91666666667,10.8333333333,10.9166666667,11.75
1760,11.75,11.6666666667,12.0,12.1666666667,12.0833333333,11.9166666667,11.9166666667,11.5,11.5833333333,11.25,11.5833333333,11.25
1761,11.6666666667,11.6666666667,11.75,11.6666666667,11.6666666667,12.25,12.8333333333,12.75,12.4166666667,12.25,12.1666666667,11.8333333333
1762,11.1666666667,11.0,11.0,10.5,10.1666666667,9.75,8.83333333333,8.41666666667,9.0,9.0,8.66666666667,9.16666666667
1763,9.75,9.66666666667,9.83333333333,10.6666666667,11.1666666667,11.6666666667,11.6666666667,12.3333333333,11.8333333333,12.1666666667,12.5,12.1666666667
1764,11.5833333333,11.1666666667,10.6666666667,10.1666666667,9.66666666667,9.41666666667,10.25,10.0,10.4166666667,9.83333333333,10.4166666667,10.5
1765,10.6666666667,10.8333333333,11.1666666667,11.5833333333,12.0833333333,12.25,12.0,12.0,12.1666666667,12.8333333333,12.1666666667,11.9166666667
1766,11.9166666667,12.1666666667,12.25,12.0,11.4166666667,10.8333333333,10.25,10.25,8.91666666667,8.25,8.25,8.16666666667
1767,8.16666666667,8.25,7.91666666667,8.33333333333,9.08333333333,10.0,10.6666666667,10.8333333333,10.9166666667,11.0,11.5833333333,11.6666666667
1768,11.75,11.75,11.8333333333,11.0833333333,10.6666666667,9.83333333333,9.75,9.33333333333,10.0,10.0833333333,9.5,9.58333333333
1769,9.66666666667,9.75,9.91666666667,10.0,10.3333333333,10.5,10.75,10.9166666667,10.5,11.0,11.1666666667,11.0
1770,11.1666666667,11.1666666667,11.5,12.0,11.3333333333,11.5,11.75,12.25,12.6666666667,12.4166666667,13.25,13.75
1771,13.75,13.5833333333,12.9166666667,12.75,12.5833333333,12.75,11.9166666667,11.1666666667,10.9166666667,10.75,10.1666666667,10.25
1772,9.83333333333,10.1666666667,10.3333333333,10.5,10.8333333333,10.3333333333,10.25,11.0,10.8333333333,10.6666666667,10.5833333333,10.6666666667
