year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec
1860;1.24;1.32;2.24;1.79;1.6;1.15;1.06;1.19;1.52;1.54;1.35;0.78
1861;1.7;0.77;1.32;1.63;1.14;1.02;1.15;1.55;1.6;1.17;1.04;1.79
1862;1.9;2.56;1.9;1.99;1.01;0.99;1.54;1.11;1.35;1.02;0.75;2.7
1863;1.04;2.83;1.89;1.42;1.64;1.19;1.63;1.37;1.02;1.2;0.85;1.05
1864;2.54;0.97;1.4;1.62;1.31;0.94;1.52;1.35;1.41;1.37;1.3;1.47
1865;1.32;1.57;1.42;2.54;2.04;1.35;2.07;1.54;2.07;1.12;1.17;1.4
1866;0.75;1.13;1.4;1.19;1.28;1.38;1.4;1.29;0.93;1.83;1.88;1.31
1867;1.44;1.45;0.55;1.84;1.52;1.34;1.36;1.92;1.85;1.38;2.17;1.74
1868;2.24;1.67;1.34;1.5;0.89;1.32;1.29;1.2;1.58;1.56;1.95;1.28
1869;2.97;1.26;1.78;1.53;1.35;1.53;2.25;1.31;1.79;1.57;1.86;1.02
1870;1.4;3.15;2.25;1.86;1.65;1.5;1.62;1.36;0.95;1.42;0.6;1.64
1871;1.46;2.08;1.87;2.2;1.52;0.81;1.76;1.6;2.0;1.78;1.69;1.68
1872;0.65;1.31;2.1;1.92;1.04;1.58;2.17;1.41;1.37;0.98;0.37;0.48
1873;0.78;1.24;1.66;1.64;1.35;1.51;2.38;1.91;1.18;1.31;1.02;2.33
1874;2.54;2.07;2.82;2.37;1.8;1.9;2.14;1.14;1.68;1.03;0.92;1.03
1875;1.69;2.77;2.14;2.14;2.02;1.28;1.9;1.62;1.7;0.86;1.34;1.62
1876;2.11;1.24;1.53;1.14;1.21;1.31;1.87;1.66;1.17;1.03;0.96;1.1
1877;0.82;1.38;2.0;1.46;1.15;2.12;1.63;1.86;1.72;1.36;0.67;1.44
1878;1.05;1.73;2.55;1.38;1.52;1.29;1.69;1.18;0.89;0.87;0.1;1.1
1879;0.71;0.67;2.09;0.85;0.98;1.09;1.33;1.56;0.54;1.3;1.58;1.25
1880;2.53;1.93;2.45;1.49;0.81;0.83;1.55;0.73;0.91;1.14;1.24;1.55
1881;1.91;1.09;1.78;1.3;1.08;1.24;2.1;1.15;0.95;0.92;1.03;1.85
1882;1.0;2.25;2.62;1.13;1.45;1.51;1.21;1.04;0.55;1.32;1.44;1.41
1883;1.46;1.99;2.25;1.63;1.73;1.07;1.2;1.79;1.03;1.49;1.06;2.29
1884;2.68;1.45;1.74;1.31;1.58;0.98;1.8;1.51;0.89;1.21;1.47;1.01
1885;1.55;0.97;1.61;1.83;0.94;1.77;1.7;1.55;1.01;0.69;1.28;2.24
1886;1.33;2.17;1.9;1.31;1.28;0.86;2.18;0.22;1.51;1.18;0.83;1.1
1887;1.72;2.09;1.21;1.64;0.61;1.47;2.09;1.79;1.14;0.53;0.78;0.93
1888;2.92;1.29;1.8;1.18;1.7;1.19;1.4;1.31;1.21;0.67;0.77;0.75
1889;1.02;1.74;1.99;1.33;1.1;0.9;1.23;0.93;1.14;0.47;0.99;0.37
1890;0.74;2.73;2.1;0.94;0.83;1.21;1.15;1.14;1.12;1.76;1.12;1.64
1891;0.66;1.65;1.29;1.5;1.28;1.96;1.34;1.29;1.6;2.65;0.5;4.32
1892;1.37;1.78;1.11;2.09;0.74;0.83;1.79;1.38;0.87;0.72;1.18;1.84
1893;1.31;0.86;2.2;2.4;1.2;1.5;1.68;1.9;1.79;0.96;0.88;0.52
1894;0.93;2.14;1.29;1.85;0.86;2.13;2.03;1.42;1.62;1.07;0.94;1.1
1895;0.39;1.45;1.61;1.13;0.99;0.97;1.82;1.33;1.34;0.84;1.08;1.55
1896;1.36;1.73;1.67;1.4;0.86;1.33;1.66;0.85;0.92;0.18;1.28;1.23
1897;1.16;2.18;1.43;1.44;0.79;1.45;1.7;0.96;1.0;1.0;1.0;2.62
1898;0.69;1.53;0.98;1.26;0.89;1.56;2.02;1.48;2.68;0.85;0.22;1.0
1899;0.83;1.72;1.18;1.14;0.62;1.65;1.49;1.8;1.11;1.01;1.53;0.14
1900;0.89;1.4;1.45;1.63;0.96;1.38;1.68;0.98;1.67;1.32;1.09;1.0
