year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1780,-5.03414634146,-4.54048780488,5.74609756098,6.36609756098,14.1226829268,16.0734146341,18.3273170732,18.3419512195,13.6236585366,9.48707317073,3.1956097561,-3.58097560976
1781,-3.68414634146,-1.39048780488,3.94609756098,9.26609756098,14.4726829268,18.2734146341,19.1773170732,20.7919512195,16.3236585366,6.73707317073,4.1956097561,-1.78097560976
1782,-2.03414634146,-4.69048780488,2.29609756098,7.21609756098,13.6726829268,18.1734146341,19.6273170732,18.8419512195,13.3736585366,7.48707317073,0.595609756098,-1.08097560976
1783,-0.334146341463,2.10951219512,2.14609756098,9.11609756098,15.6726829268,18.4234146341,19.6773170732,18.8419512195,15.0236585366,8.83707317073,2.4456097561,-5.88097560976
1784,-7.18414634146,-3.29048780488,1.89609756098,6.16609756098,15.5726829268,17.1734146341,18.0773170732,18.6919512195,16.1736585366,5.38707317073,2.5956097561,-1.83097560976
1785,-5.13414634146,-3.94048780488,-5.00390243902,5.31609756098,13.3226829268,15.4734146341,17.1773170732,17.0919512195,16.1736585366,7.93707317073,3.2956097561,-1.63097560976
1786,-3.53414634146,-1.54048780488,2.94609756098,9.16609756098,11.9726829268,16.8234146341,16.6273170732,16.0919512195,12.8736585366,5.68707317073,0.395609756098,-2.23097560976
1787,-4.43414634146,0.459512195122,4.09609756098,6.06609756098,11.1726829268,17.1234146341,17.9273170732,18.5919512195,12.9736585366,9.68707317073,3.7456097561,1.31902439024
1788,-1.08414634146,-1.39048780488,4.24609756098,8.01609756098,13.4226829268,18.0734146341,20.8273170732,15.5919512195,15.3736585366,7.98707317073,0.845609756098,-9.58097560976
1789,-4.53414634146,0.609512195122,-0.0539024390244,10.116097561,16.7726829268,16.0234146341,18.7773170732,17.4419512195,14.5736585366,9.88707317073,3.6956097561,-1.73097560976
1790,-2.53414634146,2.10951219512,3.59609756098,7.01609756098,15.1726829268,18.9734146341,17.2773170732,18.7419512195,13.1736585366,8.13707317073,2.5456097561,1.06902439024
1791,1.76585365854,-0.190487804878,4.34609756098,10.166097561,13.4726829268,16.4234146341,18.9273170732,20.1919512195,13.3736585366,8.48707317073,2.4456097561,-0.0309756097561
1792,-2.43414634146,-2.49048780488,3.09609756098,9.01609756098,12.9226829268,17.6234146341,19.1273170732,18.3919512195,14.0236585366,7.58707317073,2.3456097561,-0.930975609756
1793,-5.23414634146,0.309512195122,1.94609756098,6.66609756098,12.3726829268,14.9234146341,19.9773170732,19.1419512195,14.2236585366,10.1370731707,3.4956097561,0.819024390244
1794,-0.934146341463,2.55951219512,5.19609756098,13.016097561,15.7226829268,18.6734146341,22.0773170732,17.4419512195,12.7736585366,8.48707317073,3.0956097561,-2.88097560976
1795,-9.88414634146,-2.14048780488,2.94609756098,10.666097561,13.9226829268,18.2734146341,16.3273170732,18.7419512195,14.2736585366,12.1370731707,1.4456097561,1.16902439024
1796,2.76585365854,0.509512195122,-0.203902439024,6.41609756098,14.2726829268,16.6734146341,18.6773170732,19.1919512195,16.7736585366,8.73707317073,2.4456097561,-3.53097560976
1797,-2.18414634146,0.259512195122,1.84609756098,11.116097561,17.5726829268,17.6234146341,20.8773170732,20.3419512195,16.1736585366,9.93707317073,3.4456097561,-0.280975609756
1798,-1.33414634146,1.90951219512,4.29609756098,9.26609756098,14.3226829268,17.5234146341,18.6773170732,19.2419512195,16.4736585366,8.58707317073,1.8956097561,-6.23097560976
1799,-8.93414634146,-3.74048780488,1.69609756098,7.76609756098,13.4226829268,15.3734146341,17.7773170732,18.9919512195,13.7736585366,9.98707317073,3.3956097561,-5.28097560976
1800,-2.68414634146,-2.24048780488,-2.00390243902,15.366097561,16.6226829268,14.6234146341,17.5773170732,19.5419512195,14.9236585366,8.78707317073,5.0956097561,-1.28097560976
1801,-0.984146341463,-1.69048780488,6.14609756098,9.01609756098,16.4226829268,15.5234146341,17.6773170732,16.9419512195,15.7736585366,10.8870731707,5.0456097561,-0.0809756097561
1802,-3.58414634146,-1.39048780488,3.44609756098,9.06609756098,13.1226829268,18.3234146341,18.8773170732,20.2419512195,15.0736585366,12.1870731707,5.3456097561,0.269024390244
